Accession,Entry,Name,Species,PC_NT.1.1,PC_NT.1.2,PC.DM_NT.DM.1.1,PC.DM_NT.DM.1.2,PC_NT.2.1,PC_NT.2.2,PC.DM_NT.DM.2.1,PC.DM_NT.DM.2.2
HDGF_HUMAN,P51858,"Hepatoma-derived growth factor",HUMAN,1.33,0.929,18.707,0.787,0.871,2.291,2.63,3.597
HDHD2_HUMAN,Q9H0R4,"Haloacid dehalogenase-like hydrolase domain-containing protein 2",HUMAN,0.631,0.402,0.555,0.603,0.263,1.33,2.489,0.049
HIBCH_HUMAN,Q6NVY1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HUMAN,0.575,0.406,0.54,0.745,0.421,0.637,0.711,0.904
HINT1_HUMAN,P49773,"Histidine triad nucleotide-binding protein 1",HUMAN,1,0.655,2.606,1.236,0.879,1.236,2.188,1.905
HP1B3_HUMAN,Q5SSJ5,"Heterochromatin protein 1-binding protein 3",HUMAN,1,0.37,1.803,0.794,0.614,0.53,1.923,0.377
HPT_HUMAN,P00738,Haptoglobin,HUMAN,4.13,1.959,13.804,1.306,3.162,5.297,0.38,6.982
HRG_HUMAN,P04196,"Histidine-rich glycoprotein",HUMAN,1.486,1.271,25.823,0.929,1.107,11.482,2.559,3.162
HS90B_HUMAN,P08238,"Heat shock protein HSP 90-beta",HUMAN,4.018,1.706,20.324,1.028,5.97,1.355,3.251,0.946
HSDL2_HUMAN,Q6YN16,"Hydroxysteroid dehydrogenase-like protein 2",HUMAN,0.52,0.281,1.977,0.413,0.904,0.631,0.592,0.661
HSP71_HUMAN,P0DMV8,"Heat shock 70 kDa protein 1A/1B",HUMAN,1.706,0.92,5.702,0.575,4.92,2.559,2.377,1.995
HV303_HUMAN,P01764,"Ig heavy chain V-III region VH26",HUMAN,1.127,0.809,4.92,2.679,0.855,1.117,0.887,1.644
HXK1_HUMAN,P19367,Hexokinase-1,HUMAN,5.445,1.941,3.532,1.028,5.012,1.542,2.655,1.096
HXK3_HUMAN,P52790,Hexokinase-3,HUMAN,0.912,1.82,16.596,3.311,0.281,0.738,3.565,1.117
HYEP_HUMAN,P07099,"Epoxide hydrolase 1",HUMAN,0.117,0.331,0.161,0.457,0.802,0.164,0.019,0.142
HYOU1_HUMAN,Q9Y4L1,"Hypoxia up-regulated protein 1",HUMAN,0.402,0.387,3.133,0.545,0.413,0.78,1.786,0.174
IC1_HUMAN,P05155,"Plasma protease C1 inhibitor",HUMAN,1.786,6.918,0.413,0.637,1.786,1.406,0.356,1.854
IDHP_HUMAN,P48735,"Isocitrate dehydrogenase [NADP], mitochondrial",HUMAN,0.31,0.879,1.644,0.832,0.101,0.56,3.162,0.425
IF4A3_HUMAN,P38919,"Eukaryotic initiation factor 4A-III",HUMAN,0.37,0.608,1.096,0.322,0.189,0.145,2.606,0.57
IF4B_HUMAN,P23588,"Eukaryotic translation initiation factor 4B",HUMAN,0.296,0.047,11.482,0.249,1.038,0.205,0.236,0.251
IGHA1_HUMAN,P01876,"Ig alpha-1 chain C region",HUMAN,2.938,1.445,53.456,2.831,1.117,15.996,2.512,7.178
IGHA2_HUMAN,P01877,"Ig alpha-2 chain C region",HUMAN,5.808,1.33,116.95,1.6,0.817,1.355,1.69,1.202
IGHG1_HUMAN,P01857,"Ig gamma-1 chain C region",HUMAN,5.445,2.831,64.863,1.18,0.619,2.655,7.178,3.133
IGHG2_HUMAN,P01859,"Ig gamma-2 chain C region",HUMAN,2.051,1.225,23.768,2.512,0.887,1.941,2.535,6.31
IGHG4_HUMAN,P01861,"Ig gamma-4 chain C region",HUMAN,2.831,3.076,11.695,8.318,0.655,4.406,5.346,1.318
IGHM_HUMAN,P01871,"Ig mu chain C region",HUMAN,17.539,1.472,7.516,1.556,0.738,3.698,1.738,8.472
IGJ_HUMAN,P01591,"Immunoglobulin J chain",HUMAN,4.487,4.966,2.07,3.342,1.837,2.805,1.343,4.365
IGKC_HUMAN,P01834,"Ig kappa chain C region",HUMAN,6.31,1.722,17.378,1.419,0.964,3.467,3.133,1.585
IGLL5_HUMAN,B9A064,"Immunoglobulin lambda-like polypeptide 5",HUMAN,2.606,3.048,38.019,2.443,0.794,27.04,1.69,6.252
ILK_HUMAN,Q13418,"Integrin-linked protein kinase",HUMAN,4.966,1.528,3.133,1.009,0.946,1.528,8.63,1.542
IMPA2_HUMAN,O14732,"Inositol monophosphatase 2",HUMAN,0.344,0.31,4.487,0.488,0.233,0.082,0.251,0.167
INS_HUMAN,P01308,Insulin,HUMAN,0.074,0.565,2.089,0.711,0.027,1.343,1.169,1.528
IPO7_HUMAN,O95373,Importin-7,HUMAN,1.57,1.514,0.92,1.57,0.887,2.858,2.109,0.766
IPYR_HUMAN,Q15181,"Inorganic pyrophosphatase",HUMAN,0.738,0.413,6.607,3.311,2.805,1.419,1.786,1.675
IQGA2_HUMAN,Q13576,"Ras GTPase-activating-like protein IQGAP2",HUMAN,0.511,0.904,1.368,0.614,0.299,0.437,1.294,0.296
ISK1_HUMAN,P00995,"Pancreatic secretory trypsin inhibitor",HUMAN,0.094,0.048,0.158,0.705,0.614,0.068,0.022,0.344
ITA1_HUMAN,P56199,"Integrin alpha-1",HUMAN,5.105,1.6,1.905,1.556,2.992,1.77,1.202,2.014
ITAV_HUMAN,P06756,"Integrin alpha-V",HUMAN,5.916,1.528,4.742,1.117,1.514,5.152,1.282,1.009
ITB1_HUMAN,P05556,"Integrin beta-1",HUMAN,3.404,3.281,1.871,0.895,2.679,6.081,3.162,1.169
ITIH1_HUMAN,P19827,"Inter-alpha-trypsin inhibitor heavy chain H1",HUMAN,3.251,2.911,6.252,3.945,1.159,2.014,0.53,2.443
ITIH2_HUMAN,P19823,"Inter-alpha-trypsin inhibitor heavy chain H2",HUMAN,1.77,1.138,1.854,3.597,2.228,2.679,0.453,3.908
ITIH3_HUMAN,Q06033,"Inter-alpha-trypsin inhibitor heavy chain H3",HUMAN,2.148,1.644,1.542,1.738,4.406,3.436,0.501,6.792
K1C17_HUMAN,Q04695,"Keratin, type I cytoskeletal 17",HUMAN,11.803,3.908,8.017,10.965,40.926,4.656,6.73,5.248
K1C19_HUMAN,P08727,"Keratin, type I cytoskeletal 19",HUMAN,8.71,12.474,6.081,1.057,11.588,7.943,18.197,3.105
K2C5_HUMAN,P13647,"Keratin, type II cytoskeletal 5",HUMAN,5.105,1.067,0.406,0.879,10.568,1.629,10.666,1.556
K2C6A_HUMAN,P02538,"Keratin, type II cytoskeletal 6A",HUMAN,2.312,3.733,3.162,3.467,23.988,1.459,6.546,1.995
K2C7_HUMAN,P08729,"Keratin, type II cytoskeletal 7",HUMAN,9.12,19.231,5.97,1.459,13.305,10.471,10.765,1.086
K6PP_HUMAN,Q01813,"6-phosphofructokinase type C",HUMAN,3.162,4.169,6.31,1.038,1.69,1.57,3.733,0.013
KAP3_HUMAN,P31323,"cAMP-dependent protein kinase type II-beta regulatory subunit",HUMAN,0.55,1.127,0.145,0.291,0.286,2.228,0.802,0.263
KCD14_HUMAN,Q9BQ13,"BTB/POZ domain-containing protein KCTD14",HUMAN,0.445,0.187,0.766,0.457,0.425,0.705,1.355,0.319
KCRB_HUMAN,P12277,"Creatine kinase B-type",HUMAN,0.912,0.429,4.786,0.258,0.203,0.597,0.752,0.731
KCY_HUMAN,P30085,"UMP-CMP kinase",HUMAN,5.702,2.27,14.454,0.679,2.312,2.249,0.802,0.991
KHDR1_HUMAN,Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",HUMAN,0.57,1.675,2.805,0.855,5.495,7.727,1.786,1.977
KINH_HUMAN,P33176,"Kinesin-1 heavy chain",HUMAN,1.754,1.318,5.916,0.643,1.754,1.644,2.421,5.012
KLK1_HUMAN,P06870,Kallikrein-1,HUMAN,0.268,0.366,0.847,0.402,0.076,0.244,0.022,0.363
KNG1_HUMAN,P01042,Kininogen-1,HUMAN,4.529,5.297,2.679,0.698,0.871,8.954,1.138,5.808
KPYM_HUMAN,P14618,"Pyruvate kinase isozymes M1/M2",HUMAN,9.376,2.443,18.707,2.512,7.798,12.823,8.472,2.168
KV309_HUMAN,P04433,"Ig kappa chain V-III region VG",HUMAN,3.631,1.432,11.482,2.148,2.128,7.516,0.752,4.325
KV312_HUMAN,P01619,"Ig kappa chain V-III region HAH",HUMAN,4.446,3.105,2.831,3.02,1.837,2.051,0.759,9.817
KV404_HUMAN,P06312,"Ig kappa chain V-IV region B17",HUMAN,1.82,3.767,0.78,4.207,2.582,2.355,0.575,8.318
LAC2_HUMAN,P0CG05,"Ig lambda-2 chain C regions",HUMAN,6.855,3.02,97.275,1.675,0.394,5.058,3.281,2.831
LAMA3_HUMAN,Q16787,"Laminin subunit alpha-3",HUMAN,11.169,1.343,0.871,1.871,2.606,3.133,30.479,2.63
LAMA5_HUMAN,O15230,"Laminin subunit alpha-5",HUMAN,0.497,0.337,2.679,0.441,0.449,0.667,1.202,0.278
LAMB1_HUMAN,P07942,"Laminin subunit beta-1",HUMAN,4.018,1.837,2.399,0.738,0.78,1.69,3.597,0.457
LAMB3_HUMAN,Q13751,"Laminin subunit beta-3",HUMAN,3.499,1.472,1.445,3.532,16.444,2.249,3.873,4.831
LAMC2_HUMAN,Q13753,"Laminin subunit gamma-2",HUMAN,5.649,1.225,4.742,3.192,8.872,4.699,5.058,6.73
LASP1_HUMAN,Q14847,"LIM and SH3 domain protein 1",HUMAN,1.941,0.946,1.977,1.871,3.467,3.133,0.631,3.698
LDHA_HUMAN,P00338,"L-lactate dehydrogenase A chain",HUMAN,4.093,21.086,1.472,2.512,5.598,7.112,6.252,2.089
LDHB_HUMAN,P07195,"L-lactate dehydrogenase B chain",HUMAN,0.373,0.421,6.368,0.603,0.31,0.215,0.955,0.201
LEG1_HUMAN,P09382,Galectin-1,HUMAN,4.529,6.427,1.419,1.432,0.929,11.482,16.596,2.679
LEG3_HUMAN,P17931,Galectin-3,HUMAN,3.532,2.188,3.597,1.905,1.871,13.305,5.395,5.058
LEG4_HUMAN,P56470,Galectin-4,HUMAN,1.66,17.539,0.731,0.608,0.964,2.168,1.905,2.032
LGMN_HUMAN,Q99538,Legumain,HUMAN,2.421,1.754,2.679,1.138,2.466,7.87,3.02,2.377
LIPP_HUMAN,P16233,"Pancreatic triacylglycerol lipase",HUMAN,0.095,0.033,0.164,0.18,0.033,0.085,0.099,0.066
LIPR1_HUMAN,P54315,"Pancreatic lipase-related protein 1",HUMAN,0.394,0.511,0.203,0.904,0.203,0.773,0.142,0.268
LMAN1_HUMAN,P49257,"Protein ERGIC-53",HUMAN,0.479,0.441,2.858,1.923,1.107,0.631,0.738,0.766
LMAN2_HUMAN,Q12907,"Vesicular integral-membrane protein VIP36",HUMAN,0.261,2.249,0.334,0.955,0.425,0.55,0.366,0.265
LMCD1_HUMAN,Q9NZU5,"LIM and cysteine-rich domains protein 1",HUMAN,4.656,1.629,6.792,1.355,1.77,5.495,0.824,1.923
LMNA_HUMAN,P02545,Prelamin-A/C,HUMAN,2.249,0.631,6.918,1.009,6.427,2.938,1.923,7.798
LRP1_HUMAN,Q07954,"Prolow-density lipoprotein receptor-related protein 1",HUMAN,4.018,1.585,4.055,1.236,2.168,1.445,0.55,2.399
LTBP2_HUMAN,Q14767,"Latent-transforming growth factor beta-binding protein 2",HUMAN,16.904,0.879,6.252,5.346,3.373,15.704,1.148,6.138
LUM_HUMAN,P51884,Lumican,HUMAN,11.376,7.87,4.656,1.294,1.343,4.742,4.285,5.297
LV107_HUMAN,P01701,"Ig lambda chain V-I region BL2",HUMAN,2.07,2.911,1.803,3.981,1.406,2.443,1.213,3.436
LV302_HUMAN,P80748,"Ig lambda chain V-III region LOI",HUMAN,3.945,1.33,48.306,1.585,1.236,2.655,1.995,2.78
LXN_HUMAN,Q9BS40,Latexin,HUMAN,2.884,0.912,2.228,1.191,3.908,2.582,1.854,1.722
LYSC_HUMAN,P61626,"Lysozyme C",HUMAN,1.82,1.82,1.472,1.343,20.137,4.406,4.018,1.556
MET7A_HUMAN,Q9H8H3,"Methyltransferase-like protein 7A",HUMAN,0.147,0.839,1.33,0.592,0.283,0.387,0.461,0.005
MFAP5_HUMAN,Q13361,"Microfibrillar-associated protein 5",HUMAN,2.754,1.306,2.148,2.606,1.905,2.208,0.637,4.285
MGP_HUMAN,P08493,"Matrix Gla protein",HUMAN,1.995,1.259,0.824,1.047,7.586,1.69,0.55,1.419
MIF_HUMAN,P14174,"Macrophage migration inhibitory factor",HUMAN,0.879,0.278,0.56,0.55,5.808,0.52,0.24,0.92
MMP9_HUMAN,P14780,"Matrix metalloproteinase-9",HUMAN,1.38,1.803,0.673,1.754,8.872,9.204,4.169,0.738
MMSA_HUMAN,Q02252,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",HUMAN,0.161,0.313,0.363,0.614,0.328,0.787,0.37,0.203
MOES_HUMAN,P26038,Moesin,HUMAN,9.55,1.019,6.026,1.225,4.055,6.252,2.421,2.911
MPI_HUMAN,P34949,"Mannose-6-phosphate isomerase",HUMAN,0.766,0.47,1.959,0.839,0.525,0.325,0.991,0.261
MPRIP_HUMAN,Q6WCQ1,"Myosin phosphatase Rho-interacting protein",HUMAN,2.679,1.38,22.284,1.127,1.854,2.559,1.905,0.745
MUC18_HUMAN,P43121,"Cell surface glycoprotein MUC18",HUMAN,1.076,1.706,6.668,0.847,1.722,2.148,1.127,1.127
MUC5A_HUMAN,P98088,Mucin-5AC,HUMAN,12.474,1.247,4.786,3.802,1.837,3.281,1.057,1.722
MUTA_HUMAN,P22033,"Methylmalonyl-CoA mutase, mitochondrial",HUMAN,0.515,0.575,2.729,0.325,0.525,0.787,1.556,0.586
MVP_HUMAN,Q14764,"Major vault protein",HUMAN,4.529,1.722,10.765,1.038,8.241,3.251,2.63,2.377
MXRA5_HUMAN,Q9NR99,"Matrix-remodeling-associated protein 5",HUMAN,6.194,6.368,1.318,4.055,18.197,2.188,1.675,2.911
MYH10_HUMAN,P35580,Myosin-10,HUMAN,7.379,3.532,2.992,0.982,3.436,1.202,0.92,0.787
MYH14_HUMAN,Q7Z406,Myosin-14,HUMAN,2.312,1.432,1.472,2.355,9.12,2.421,3.945,3.076
MYH9_HUMAN,P35579,Myosin-9,HUMAN,6.918,5.546,4.365,1.786,12.246,4.699,2.148,1.355
MYL6_HUMAN,P60660,"Myosin light polypeptide 6",HUMAN,2.535,1.923,6.73,0.643,36.644,4.365,2.679,1.69
MYL9_HUMAN,P24844,"Myosin regulatory light polypeptide 9",HUMAN,1.941,2.27,14.06,0.394,8.472,0.673,0.449,7.656
MYO1D_HUMAN,O94832,Myosin-Id,HUMAN,1.722,2.992,4.699,1.556,2.355,0.912,1.585,1.17
MYOF_HUMAN,Q9NZM1,Myoferlin,HUMAN,7.178,2.377,10.965,1.38,8.166,1.941,1.486,3.02
NDUA4_HUMAN,O00483,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4",HUMAN,0.413,0.52,0.402,0.752,0.497,0.592,0.692,0.603
NDUA5_HUMAN,Q16718,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5",HUMAN,0.229,1.067,0.466,0.643,0.363,0.53,8.017,0.134
NEXN_HUMAN,Q0ZGT2,Nexilin,HUMAN,1.556,2.582,5.546,1.009,2.965,2.489,0.705,3.373
NIBAN_HUMAN,Q9BZQ8,"Protein Niban",HUMAN,0.36,0.802,1.057,1.82,0.545,0.685,2.051,1.6
NLTP_HUMAN,P22307,"Non-specific lipid-transfer protein",HUMAN,1.837,1.69,3.105,1.259,0.879,8.318,13.804,0.119
NP1L4_HUMAN,Q99733,"Nucleosome assembly protein 1-like 4",HUMAN,0.871,0.474,6.31,0.167,0.52,0.483,13.062,0.034
NSF_HUMAN,P46459,"Vesicle-fusing ATPase",HUMAN,0.56,0.565,8.166,0.56,0.488,0.887,0.466,0.488
NUCB2_HUMAN,P80303,Nucleobindin-2,HUMAN,0.322,0.192,6.081,0.275,0.211,0.409,0.11,0.109
ODB2_HUMAN,P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",HUMAN,0.38,0.449,1.528,0.718,0.064,0.938,1.368,0.105
ODPB_HUMAN,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",HUMAN,0.619,0.34,8.318,0.492,0.406,1.127,3.221,0.101
OLA1_HUMAN,Q9NTK5,"Obg-like ATPase 1",HUMAN,0.433,0.982,3.837,0.759,0.373,0.655,1.542,1.406
OST48_HUMAN,P39656,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",HUMAN,0.111,0.265,0.592,0.575,0.581,0.832,0.718,0.256
OSTF1_HUMAN,Q92882,"Osteoclast-stimulating factor 1",HUMAN,0.56,6.368,6.918,1.542,1.117,1.871,1.57,1.556
P3H1_HUMAN,Q32P28,"Prolyl 3-hydroxylase 1",HUMAN,2.466,2.606,2.443,1.542,18.88,3.733,0.673,1.77
P4HA1_HUMAN,P13674,"Prolyl 4-hydroxylase subunit alpha-1",HUMAN,2.443,6.138,2.27,4.487,1.282,2.128,1.076,0.745
P5CS_HUMAN,P54886,"Delta-1-pyrroline-5-carboxylate synthase",HUMAN,0.457,0.441,0.302,0.54,0.565,0.35,1.368,0.483
PABP1_HUMAN,P11940,"Polyadenylate-binding protein 1",HUMAN,0.871,0.592,6.427,1.614,1.66,6.486,2.168,1.107
PAIRB_HUMAN,Q8NC51,"Plasminogen activator inhibitor 1 RNA-binding protein",HUMAN,0.238,0.511,0.129,0.718,0.614,0.655,0.92,0.425
PALLD_HUMAN,Q8WX93,Palladin,HUMAN,12.134,2.466,3.192,1.644,3.837,7.943,1.419,4.656
PARVA_HUMAN,Q9NVD7,Alpha-parvin,HUMAN,1.69,2.208,1.675,1.138,5.495,1,1.009,0.506
PBLD_HUMAN,P30039,"Phenazine biosynthesis-like domain-containing protein",HUMAN,0.122,0.483,0.191,1.459,0.221,0.337,2.858,0.373
PCKGM_HUMAN,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",HUMAN,0.409,0.185,4.093,0.855,0.131,0.895,1.432,0.132
PCOC1_HUMAN,Q15113,"Procollagen C-endopeptidase enhancer 1",HUMAN,4.018,1.722,1.086,1.514,0.929,2.606,1.738,1
PDCD4_HUMAN,Q53EL6,"Programmed cell death protein 4",HUMAN,0.474,0.325,1.6,0.353,0.296,0.55,0.211,0.474
PDIA1_HUMAN,P07237,"Protein disulfide-isomerase",HUMAN,0.2,0.092,1.6,0.356,0.203,0.201,0.158,0.149
PDIA2_HUMAN,Q13087,"Protein disulfide-isomerase A2",HUMAN,0.124,0.021,0.402,0.143,0.052,0.302,0.157,0.075
PDIA4_HUMAN,P13667,"Protein disulfide-isomerase A4",HUMAN,0.391,0.247,4.285,0.752,0.268,0.711,0.904,0.18
PDIA6_HUMAN,Q15084,"Protein disulfide-isomerase A6",HUMAN,0.592,0.283,1.127,0.441,0.286,0.929,1.923,0.391
PDLI1_HUMAN,O00151,"PDZ and LIM domain protein 1",HUMAN,1.82,1.614,0.817,0.409,3.311,1.213,1.191,1.905
PDLI4_HUMAN,P50479,"PDZ and LIM domain protein 4",HUMAN,11.695,1.528,7.178,1.419,7.047,4.207,1.009,9.55
PDLI7_HUMAN,Q9NR12,"PDZ and LIM domain protein 7",HUMAN,11.912,3.192,7.112,1.675,3.908,1.66,2.443,3.436
PEBP1_HUMAN,P30086,"Phosphatidylethanolamine-binding protein 1",HUMAN,0.203,0.198,0.322,0.555,0.305,0.058,0.059,0.166
PEDF_HUMAN,P36955,"Pigment epithelium-derived factor",HUMAN,10.568,1.368,4.742,2.78,3.698,4.246,1.738,1.977
PEPL_HUMAN,O60437,Periplakin,HUMAN,1.675,4.786,3.802,1.528,3.664,8.241,3.048,2.312
PERM_HUMAN,P05164,Myeloperoxidase,HUMAN,0.54,3.048,2.606,3.192,32.81,3.162,2.291,2.148
PERP1_HUMAN,Q8WU39,"Plasma cell-induced resident endoplasmic reticulum protein",HUMAN,1.923,0.863,9.204,0.863,5.346,1.888,4.406,3.251
PGBM_HUMAN,P98160,"Basement membrane-specific heparan sulfate proteoglycan core protein",HUMAN,1.754,1.213,4.487,2.032,11.482,2.805,1,1.888
PGK1_HUMAN,P00558,"Phosphoglycerate kinase 1",HUMAN,2.109,1.542,6.138,1.38,5.012,5.105,5.916,4.169
PGS1_HUMAN,P21810,Biglycan,HUMAN,14.997,4.246,5.97,5.395,14.588,12.589,3.908,8.872
PGS2_HUMAN,P07585,Decorin,HUMAN,7.047,1.629,15.276,1.888,5.2,3.404,5.445,4.786
PICAL_HUMAN,Q13492,"Phosphatidylinositol-binding clathrin assembly protein",HUMAN,2.089,1.355,5.152,1.318,5.445,1.959,0.955,1.028
PIGR_HUMAN,P01833,"Polymeric immunoglobulin receptor",HUMAN,3.698,6.368,0.299,1.738,1.959,1.368,1.959,1.754
PKP3_HUMAN,Q9Y446,Plakophilin-3,HUMAN,0.817,0.855,1.706,0.871,2.089,1.923,2.884,3.192
PLAK_HUMAN,P14923,"Junction plakoglobin",HUMAN,0.982,0.655,3.105,1.459,1.959,2.655,5.297,2.355
PLEC_HUMAN,Q15149,Plectin,HUMAN,10,1.941,10.186,2.051,14.859,5.808,2.729,5.297
PLIN1_HUMAN,O60240,Perilipin-1,HUMAN,0.474,0.445,0.592,0.863,0.497,0.603,0.302,0.718
PLIN4_HUMAN,Q96Q06,Perilipin-4,HUMAN,0.196,0.863,0.904,0.766,0.122,0.034,0.019,0.614
PLST_HUMAN,P13797,Plastin-3,HUMAN,1.941,2.858,4.365,1.706,4.285,3.802,1.306,1.82
POSTN_HUMAN,Q15063,Periostin,HUMAN,22.08,3.532,6.855,3.981,12.134,26.792,8.872,3.105
PRDX1_HUMAN,Q06830,Peroxiredoxin-1,HUMAN,2.655,1.706,7.311,0.643,3.02,1.854,3.076,3.076
PRDX2_HUMAN,P32119,Peroxiredoxin-2,HUMAN,0.441,0.387,2.655,0.497,0.167,1.432,2.831,0.182
PRDX4_HUMAN,Q13162,Peroxiredoxin-4,HUMAN,0.283,0.08,0.705,0.247,0.249,0.167,0.07,0.09
PRELP_HUMAN,P51888,Prolargin,HUMAN,17.865,1.556,0.863,1.236,1.786,2.911,6.368,2.312
PRKDC_HUMAN,P78527,"DNA-dependent protein kinase catalytic subunit",HUMAN,3.499,1.738,1.393,0.718,7.112,1.368,2.512,1.271
PROSC_HUMAN,O94903,"Proline synthase co-transcribed bacterial homolog protein",HUMAN,0.614,0.37,2.965,0.515,0.649,0.453,0.511,0.283
PRP19_HUMAN,Q9UMS4,"Pre-mRNA-processing factor 19",HUMAN,1.57,0.759,4.446,1.82,1.202,1.138,1.047,12.134
PSA1_HUMAN,P25786,"Proteasome subunit alpha type-1",HUMAN,0.929,0.631,5.916,1.556,2.032,2.07,3.373,1.486
PSA2_HUMAN,P25787,"Proteasome subunit alpha type-2",HUMAN,1.213,0.649,6.026,1.82,2.089,0.904,2.911,3.837
PSA6_HUMAN,P60900,"Proteasome subunit alpha type-6",HUMAN,0.759,0.603,11.482,0.912,0.824,2.014,5.649,1.66
PSD13_HUMAN,Q9UNM6,"26S proteasome non-ATPase regulatory subunit 13",HUMAN,0.655,1.393,3.192,0.895,0.603,0.625,1.294,0.286
PTK7_HUMAN,Q13308,"Inactive tyrosine-protein kinase 7",HUMAN,1.905,3.837,3.837,2.559,4.529,2.032,0.787,1.57
PURA2_HUMAN,P30520,"Adenylosuccinate synthetase isozyme 2",HUMAN,1.076,1.33,1.706,0.938,3.404,4.446,1.629,1.629
PURB_HUMAN,Q96QR8,"Transcriptional activator protein Pur-beta",HUMAN,0.511,0.441,10.28,0.631,0.787,0.649,0.57,2.512
PXDC2_HUMAN,Q6UX71,"Plexin domain-containing protein 2",HUMAN,3.565,1.486,8.395,2.421,4.169,2.679,0.773,2.051
RAB3D_HUMAN,O95716,"Ras-related protein Rab-3D",HUMAN,0.169,0.497,0.296,0.515,0.824,0.679,1.259,0.643
RADI_HUMAN,P35241,Radixin,HUMAN,0.437,1.067,2.63,1.057,0.402,0.625,2.704,1.528
RALY_HUMAN,Q9UKM9,"RNA-binding protein Raly",HUMAN,2.421,0.673,2.07,0.649,2.014,3.565,1.923,0.673
RAN_HUMAN,P62826,"GTP-binding nuclear protein Ran",HUMAN,1.096,0.817,9.908,1.096,0.78,3.631,6.427,4.325
RBBP7_HUMAN,Q16576,"Histone-binding protein RBBP7",HUMAN,1.69,0.766,2.109,0.982,3.221,1.871,1.009,1.528
RCL_HUMAN,O43598,"Deoxyribonucleoside 5'-monophosphate N-glycosidase",HUMAN,0.501,0.192,0.153,0.384,0.752,0.461,0.079,0.177
RCN1_HUMAN,Q15293,Reticulocalbin-1,HUMAN,2.512,4.246,0.759,1.514,1.556,39.084,3.342,1.406
RCN3_HUMAN,Q96D15,Reticulocalbin-3,HUMAN,3.802,3.499,2.992,5.445,3.837,2.729,0.731,2.655
RET1_HUMAN,P09455,"Retinol-binding protein 1",HUMAN,0.223,0.802,0.649,0.449,0.488,0.643,0.718,0.603
RL10_HUMAN,P27635,"60S ribosomal protein L10",HUMAN,0.108,0.457,1.6,1.6,0.643,0.511,0.895,6.546
RL11_HUMAN,P62913,"60S ribosomal protein L11",HUMAN,0.125,0.511,0.353,0.904,0.172,0.863,1.294,0.134
RL13_HUMAN,P26373,"60S ribosomal protein L13",HUMAN,0.27,0.809,4.055,5.598,3.133,0.946,1.854,4.325
RL14_HUMAN,P50914,"60S ribosomal protein L14",HUMAN,0.655,1.66,1.82,1.905,0.738,0.912,4.055,14.191
RL15_HUMAN,P61313,"60S ribosomal protein L15",HUMAN,0.169,0.619,0.614,2.489,0.794,0.597,0.832,0.731
RL18_HUMAN,Q07020,"60S ribosomal protein L18",HUMAN,0.055,0.182,4.699,1.5,0.637,0.839,1.786,0.145
RL22_HUMAN,P35268,"60S ribosomal protein L22",HUMAN,0.127,0.614,1.644,3.597,0.55,0.705,0.625,1.038
RL24_HUMAN,P83731,"60S ribosomal protein L24",HUMAN,0.625,0.249,6.855,1.294,1.038,0.377,0.964,0.982
RL26L_HUMAN,Q9UNX3,"60S ribosomal protein L26-like 1",HUMAN,0.711,1.472,1.959,1.905,1.019,1.368,2.27,1.905
RL28_HUMAN,P46779,"60S ribosomal protein L28",HUMAN,0.692,0.912,1.514,2.679,0.912,0.964,1.977,2.938
RL30_HUMAN,P62888,"60S ribosomal protein L30",HUMAN,0.227,0.705,0.78,2.032,0.373,0.044,1.213,3.281
RL8_HUMAN,P62917,"60S ribosomal protein L8",HUMAN,0.227,1.117,3.373,4.656,1.247,0.692,3.251,0.904
RLA0_HUMAN,P05388,"60S acidic ribosomal protein P0",HUMAN,0.177,0.698,2.312,0.466,0.132,0.631,4.055,0.163
RLA2_HUMAN,P05387,"60S acidic ribosomal protein P2",HUMAN,0.283,0.597,8.091,0.649,0.146,0.353,2.78,0.53
RPN1_HUMAN,P04843,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1",HUMAN,0.217,0.466,2.228,1.282,1.057,0.299,0.175,0.31
RPN2_HUMAN,P04844,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",HUMAN,0.201,0.36,1.585,0.685,0.147,0.258,0.991,0.046
RRBP1_HUMAN,Q9P2E9,"Ribosome-binding protein 1",HUMAN,0.398,0.145,2.704,0.912,0.313,0.174,0.128,0.196
RS10_HUMAN,P46783,"40S ribosomal protein S10",HUMAN,0.278,0.231,4.446,0.586,0.466,0.545,1.542,0.555
RS12_HUMAN,P25398,"40S ribosomal protein S12",HUMAN,0.479,0.322,14.454,0.895,0.296,1.419,4.055,0.692
