"IPI Number","Protein Name","UniProt","T-test p value","Ratio (C/N)"
IPI00179473,"SQSTM1 Isoform 1 of Sequestosome-1",Q9BUV7;Q13446;B2R661;B3KUW5;Q13501;Q9UEU1;Q13502;A6NFN7;Q9BVS6,0.034,2.858
IPI00180386,"GYG1 Isoform GN-1L of Glycogenin-1",Q6FHZ1;Q9UNV0;P46976;Q8N5Y3,0.011,2.3
IPI00182728,"VPS4B Vacuolar protein sorting-associated protein 4B",O75351;Q9GZS7;Q69HW4;Q6PJZ4,0.005,0.596
IPI00183626,"PTBP1 polypyrimidine tract-binding protein 1 isoform a",Q9BUQ0;P26599;Q59H49;A6NLN1,0.032,1.437
IPI00183695,"S100A10 Protein S100-A10",Q6FGE5;Q5T1C5;P60903;P08206;A8K4V8,0.008,1.376
IPI00215919,"ARF5 ADP-ribosylation factor 5",P26437;P84085;A4D0Z3,0.035,1.304
IPI00215952,"ENTPD5 Ectonucleoside triphosphate diphosphohydrolase 5",O75356;Q96RX0;A1L4C5,0.031,0.289
IPI00215965,"HNRNPA1 Isoform A1-B of Heterogeneous nuclear ribonucleoprotein A1",Q3MI39;Q6IPF2;Q0VAC0;A8K4Z8;Q9BSM5;Q6PJZ7;Q3MIB7;P09651,0.028,1.763
IPI00215983,"Uncharacterized protein",P00915,0.031,0.326
IPI00216230,"TMPO Lamina-associated polypeptide 2, isoform alpha",P08919;P08918;Q9P1N8;Q14860;Q14861;P42166;Q16295;Q59G12;P42167,0.006,3.083
IPI00216237,"RPL36 60S ribosomal protein L36",B2R4Y1;P0C6E6;Q9UQF6;Q6FIG1;Q9BYF3;Q9Y3U8,0.044,0.489
IPI00216293,"TST Thiosulfate sulfurtransferase",Q6IB06;B3KRM1;Q16762;Q53EW8,0.023,0.754
IPI00216457,"HIST2H2AA4;HIST2H2AA3 Histone H2A type 2-A",Q6FI13;B2R5F0;P20670,0.004,2.391
IPI00216682,"CNN3 Calponin-3",Q15417;Q9BWY6;Q6FHA7,0.014,5.184
IPI00216691,"PFN1 Profilin-1",P07737;Q53Y44,0.033,1.511
IPI00216932,"ACSS1 Isoform 1 of Acetyl-coenzyme A synthetase 2-like, mitochondrial",Q658X4;Q9NUB1;Q9NU28;Q1RMZ4;Q96JI1;Q8N2B9;Q96JX6;Q658R1;Q7Z5G3;Q8IV99;Q8N234;Q9H7Q4;Q6ZV30;Q5TF42;Q5TF43,0.005,2.431
IPI00217030,"RPS4X 40S ribosomal protein S4, X isoform",P55831;Q96IR1;P12750;P12631;Q14727;P27576;Q6IPY4;B2R491;Q53HV1;P62701,0.009,1.802
IPI00217357,"CCAR1 Isoform 1 of Cell division cycle and apoptosis regulator protein 1",Q9NVQ0;Q32NE3;Q5VUP6;Q9NWM6;Q9H8N4;Q6X935;A8K9D4;A0JLT7;A1L4P7;Q9NVA7;B4DNP8;B4DRK8;Q5EBM3;Q8IX12;Q6PIZ0,0.007,2.289
IPI00217465,"HIST1H1C Histone H1.2",P16403;A8K4I2,0.002,0.139
IPI00217474,"IFI16 Interferon, gamma-inducible protein 16, isoform",Q8N9E5;Q5T3X0;Q5T3X1;Q5T3X2;Q96AJ5;Q8NEQ7;Q16666;Q9UH78;Q5T3W7;Q5T3W8;Q59GX0,0.036,2.71
IPI00218414,"CA2 Carbonic anhydrase 2",Q96ET9;Q6FI12;B2R7G8;P00918;Q6LD99,0.003,0.383
IPI00218466,"SEC61A1 cDNA FLJ59739, highly similar to Protein transport protein Sec61 subunit alpha isoform 1",Q8N0Z4;Q9BU16;Q8NC71;P57726;B3KNF6;Q5JPF8;P38378;Q9Y2R3;Q8N3U3;B3KME8;P61619,0.02,1.668
IPI00218486,"SSH3 Isoform 1 of Protein phosphatase Slingshot homolog 3",Q9NV45;Q9NWZ7;Q8TE77;Q8N9L8;Q8WYL0;Q76I75;Q6PK42,0.017,0.591
IPI00218606,"RPS23 40S ribosomal protein S23",Q6IB08;P39028;A8K517;P62266,0.001,2.191
IPI00218729,"DLG1 Isoform 2 of Disks large homolog 1",A5YKK7;B9EIQ5;Q59FC4;B7ZMM0;Q8N3T5;Q6PJH1;Q12958;Q12959,0.014,0.417
IPI00218775,"FKBP5 Pep",Q53GX4;Q5TGM6;Q2TA84;Q59EB8;Q13451,0.02,0.398
IPI00218848,"ATP5I ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E",P56385;Q9Y6W4;Q0D2L9,0.042,0.718
IPI00218850,"SCAMP2 Secretory carrier-associated membrane protein 2",B2RDF0;Q9BQE8;Q6IBK3;O15127,0,0.191
IPI00219018,"GAPDH Glyceraldehyde",B7Z697;P04406;Q2TSD0;Q53X65;P00354;Q5ZEY3;Q0QET7;Q16768,0.003,1.441
IPI00219025,"Uncharacterized protein",P35754;B2R4L2;Q6ICT1;Q3KQS1,0.001,5.505
IPI00219029,"GOT1 Aspartate aminotransferase, cytoplasmic",B2R6R7;Q5VW80;P17174;Q2TU84,0.027,0.814
IPI00219097,H,B2R4K8;P26583;Q5U072;Q5U071,0.023,1.507
IPI00219156,"RPL30 60S ribosomal protein L30",B2R591;P62888;P04645;Q502Z6,0.015,0.696
IPI00219301,"MARCKS Myristoylated alanine-rich C-kinase substrate",Q6NVI1;Q2LA83;P29966;Q5TDB7;Q05C82,0.009,0.564
IPI00219383,"NDUFB3 NADH dehydrogenase [",O43676;Q6IB80,0.027,0.456
IPI00219420,"SMC3 Structural maintenance of chromosomes protein 3",A8K156;Q5T482;O60464;Q9UQE7;Q86VX4,0,3.034
IPI00219445,"PSME3 Isoform 2 of Proteasome activator complex subunit 3",Q9BQD9;P61289;Q6FHK7;Q6MZZ1;Q13172;Q12920;O35563;A8K9A3;P97373,0.009,3.714
IPI00219525,"PGD 6-phosphogluconate dehydrogenase, decarboxylating",A8K2Y9;P52209;Q9BWD8,0.049,1.38
IPI00219675,"RAC1 Isoform B of Ras-related C3 botulinum toxin substrate 1",O95501;A4D2P0;Q5JAA8;P15154;A4D2P1;Q9BTB4;Q3Y4D3;Q59FQ0;P63000,0.018,1.958
IPI00219678,"EIF2S1 Eukaryotic translation initiation factor 2 subunit 1;>I",Q53XC0;P05198,0.014,1.25
IPI00219832,"ABP1 Isoform 2 of Amiloride-sensitive amine oxidase [copper-containing]",Q6GU42;Q16683;P19801;Q16684;Q9HBM7;Q56II4,0.049,0.435
IPI00219953,"CMPK1 UMP-CMP kinase isoform a",B2R6S5;Q96C07;Q5SVZ0;P30085;Q53GB7;Q9UBQ8;Q9UIA2,0.05,1.512
IPI00220158,"ADD1 Isoform 3 of Alpha-adducin",Q16156;Q96D30;A2A3P0;P35611;A2A3N8;Q16155;Q4TT76;Q9UJB6;Q14729;Q86XM2;Q13734,0.044,0.506
IPI00220281,"GNAO1 Isoform Alpha-1 of Guanine nucleotide-binding protein G(o) subunit alpha",P29777;B3KP89;Q6AWC5;P09471;Q8TD72;Q9UMV4;Q8N6I9,0.013,0.423
IPI00220342,"DDAH1 N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",B1AKK2;O94760;Q86XK5;Q5HYC8;B4E3V1,0.007,0.605
IPI00220487,"ATP5H Isoform 1 of ATP synthase subunit d, mitochondrial",B2R5L6;Q9H3J4;O75947;A0PJH2,0,0.647
IPI00220835,"SEC61B Protein transport protein Sec61 subunit beta",Q6IBC1;Q53FA5;P60468;P38390;P38391,0.017,1.364
IPI00221088,"Uncharacterized protein",Q4QRK7;Q9BVZ0;A9C4C1;P46781,0.02,1.455
IPI00221089,"RPS13 40S ribosomal protein S13",Q498Y0;Q02546;Q29200;P62277;B2R549;P19116,0.001,2.959
IPI00221091,"RPS15A 40S ribosomal protein S15a",Q3MHD9;Q8C023;Q9BV24;B2R4W8;P39027;P62244;P39031,0.004,2.257
IPI00221092,"RPS16 40S ribosomal protein S16",Q6IPX4;P62249;B2RDD5;P17008,0.006,1.735
IPI00221234,"ALDH7A1 Isoform 1 of Alpha-aminoadipic semialdehyde dehydrogenase",Q9BUL4;O14619;Q6IPU8;B2R669;P49419,0.001,0.549
IPI00221328,"CLIC2 Chloride intracellular channel protein 2",Q86YM0;Q5JT80;Q8TCE3;O15247;A8K9S0;O15174,0.029,0.456
IPI00235647,"FBLL1 rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1",NA,0.04,4.389
IPI00236556,"MPO Isoform H7 of Myeloperoxidase",P05164;Q4PJH5;Q9UCL7;Q16771;A1L4B8;Q14862,0,27.641
IPI00237884,"AKAP12 Isoform 1 of A-kinase anchor protein 12",Q99970;Q5SZ80;Q68D82;A6NEC7;Q5TGN1;Q02952;Q4LE68;Q86TJ9;Q5CZB5;O00498;O00310;Q6NSG9,0.025,0.385
IPI00242956,"FCGBP IgGFc-binding protein",O95784;Q9Y6R7,0.006,0.345
IPI00257882,"PEPD Xaa-Pro dipeptidase",Q8TBN9;A8MX47;B4DDB7;P12955;B4DGJ1;Q9BT75,0.044,0.454
IPI00260715,"FUS Fus-like protein (Fragment)",Q13344;P35637;Q59H57;Q8TBR3;Q9H4A8;Q6IBQ5,0.032,1.558
IPI00290043,"ITGA3 Isoform 2 of Integrin alpha-3",Q59F03;Q86SW1;B9EGQ1;A7E246;P26006,0.032,0.445
IPI00290110,"PDCD4 Programmed cell death protein 4",Q99834;Q8TAR5;Q5VZS7;Q5VZS6;O15501;B5ME91;Q6PJI5;Q53EL6,0.006,0.505
IPI00290315,"CHGA Chromogranin-A",Q53FA8;P10645;Q86T07;Q6NR84;B2R9E9;Q9BQB5;Q96GL7;Q96E84,0.007,0.162
IPI00290460,"EIF3G Eukaryotic translation initiation factor 3 subunit G",Q6IAM0;Q969U5;O75821;O14801,0.027,0.777
IPI00291488,"WFDC2 Isoform 1 of WAP four-disulfide core domain protein 2",Q14508;A2A2A5;Q8WXV9;A2A2A6;A6PVD5;Q96KJ1;Q8WXW1;Q8WXW2;Q6IB27;Q8WXW0,0.046,0.192
IPI00291737,"ITLN1 Intelectin-1",Q9NP67;Q8WWA0;Q6YDJ3;Q5IWS4;Q5VYI4;Q5IWS5,0.044,0.464
IPI00292150,"LTBP2 Latent-transforming growth factor beta-binding protein 2",Q99907;Q9H3F3;Q59EE6;Q9NS51;Q6AZ94;Q14767,0.007,2.478
IPI00292532,"CAMP Cathelicidin antimicrobial peptide precursor",P49913;Q71SN9,0.003,6.298
IPI00292709,"PCK1 Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",Q8TCA3;A8K437;Q9UJD2;P35558,0.01,0.52
IPI00293276,"MIF Macrophage migration inhibitory factor",NA,0.035,1.954
IPI00293303,"LGMN Legumain",O00123;Q86TV2;Q86TV3;Q9BTY1;Q53XC6;Q99538;Q96CY7;Q6I9U9,0.043,0.581
IPI00293853,"GPA33 Cell surface A33 antigen",Q5VZP6;Q99795,0.035,0.579
IPI00294426,"TAF15 Isoform Long of TATA-binding protein-associated factor 2N",Q86X94;Q92751;B2R837;Q92804,0.003,3.124
IPI00294834,"ASPH Isoform 1 of Aspartyl/asparaginyl beta-hydroxylase",B4DIC9;A6NDF4;Q9H2C4;Q8TB28;Q9Y4J0;B4E2K4;Q9NRI0;Q12797;B4DQ07;Q9NRI1;Q6PJH4;Q9H291;B7ZM96;A6NHI2;B7ZM95;Q6NXR7,0.016,1.936
IPI00295098,"SRPRB Signal recognition particle receptor subunit beta",Q9Y5M8;Q8N2D8;Q549N5;Q6P595,0.036,1.433
IPI00296022,"UQCRH Cytochrome b-c1 complex subunit 6, mitochondrial",Q6LDB8;B2R4V9;Q567R0;P07919;Q5TDF6;Q9BQ91,0.01,0.597
IPI00296713,"GRN Isoform 1 of Granulins",Q9BWE7;P28799;P23784;P23782;Q9H8S1;Q53HQ8;P23783;Q540U8;P23781;Q9UCH0;Q53Y88,0.045,0.547
IPI00296909,"PARP4 Poly [ADP-ribose] polymerase 4",Q9H1M6;O75903;Q14682;Q9UKK3;Q5QNZ9,0.012,0.437
IPI00297084,"DDOST Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",NA,0.002,1.571
IPI00297284,"IGFBP2 insulin-like growth factor-binding protein 2 precursor",Q59FF1;Q9UCL3;P18065;Q14619,0.002,0.077
IPI00297550,"F13A1 Coagulation factor XIII A chain",Q8N6X2;Q9NZ69;Q9NQP5;Q9BX29;Q5TD18;P00488;Q59HA7;Q96P24,0.04,0.253
IPI00297579,"CBX3 Chromobox protein homolog 3",Q96CD7;Q9P0Z6;Q13185;A4D177;Q9BVS3;Q99409,0.046,1.653
IPI00297982,"EIF2S3 Eukaryotic translation initiation factor 2 subunit 3",B5BTZ4;Q6KF84;Q53HK3;P41091,0.014,1.691
IPI00299048,"IQGAP2 Isoform 1 of Ras GTPase-activating-like protein IQGAP2",Q59HA3;Q13576,0.002,0.203
IPI00299573,"RPL7A;SNORD24 60S ribosomal protein L7a",Q5T8U2;P11518;Q5T8U4;Q9BY74;P62424,0.005,1.802
IPI00299608,"PSMD1 Isoform 1 of 26S proteasome non-ATPase regulatory subunit 1",Q6GMU5;Q05CW6;Q6PJM7;Q53TI2;B8ZZH9;Q05BX4;Q24JU0;Q99460;Q8IV79;Q86VU1;Q6P2P4;Q6PKG9,0.013,0.501
IPI00300371,"SF3B3 Isoform 1 of Splicing factor 3B subunit 3",Q6NTI8;Q96GC0;Q9BPY2;Q9UJ29;Q15393;Q9UFX7;A8K6V3,0.045,1.583
IPI00300567,"ECI1 Isoform 1 of Enoyl-CoA delta isomerase 1, mitochondrial",Q7Z2L7;A8K512;Q7Z2L6;P42126;Q9BW05;Q9BUB8;Q13290;Q9UDG6;Q96DC0,0.002,0.514
IPI00301503,"TRA2B Isoform 1 of Transformer-2 protein homolog beta",Q8N1H4;Q68DZ9;Q15815;Q64283;Q59GA1;P62995;O15449;B4DVK2,0.024,1.664
IPI00302850,"SNRPD1 Small nuclear ribonucleoprotein Sm D1",Q7Z5A3;P13641;P62314;B5BTZ1,0.001,4.272
IPI00303300,"FKBP10 Peptidyl-prolyl cis-trans isomerase FKBP10",Q9UF89;Q658U4;Q9H6J3;Q6ZME7;Q8NAG5;Q9H6N5;Q96AY3;Q9H3N3;Q7Z3R4,0.011,3.969
IPI00303476,"ATP5B ATP synthase subunit beta, mitochondrial",Q14283;P06576;A8K4X0;Q0QEN7,0.002,0.628
IPI00303882,"PLIN3 Isoform B of Perilipin-3",Q9UP92;Q53G77;Q9UBD7;A8K4Y9;O60664;Q9BS03,0.043,1.355
IPI00304754,"FERMT1 Isoform 1 of Fermitin family homolog 1",Q9NXQ3;Q8IYH2;Q49AC8;Q8IX34;Q54A15;Q9NWM2;Q9BQL6;Q5JWV4,0,2.251
IPI00304808,"KLK1 Isoform 1 of Kallikrein-1",Q9UMJ1;Q66US9;Q07277;P06870;Q9UE84;Q9NQU4;Q9BS53;Q9UD19;Q8TCV8;Q6T776;Q86U61,0.026,0.325
IPI00304840,"COL6A2 Isoform 2C2 of Collagen alpha-2(VI) chain",Q9UML3;Q13910;Q13911;P12110;Q7LCA7;Q9BUM6;Q14049;Q14048;Q6FHW5;Q9Y4S8;Q13909;Q6P0Q1;Q16597;Q16259,0.015,3.023
IPI00304925,"Uncharacterized protein",Q9UQC1;P08107;Q5JQI4;Q59EJ3;Q5SP17;Q9UQL9;B3KTT5;P19790;Q9UQM0;A8K5I0,0.004,0.726
IPI00305068,"PRPF6 Pre-mRNA-processing factor 6",Q9H4U8;O95109;Q9H3Z1;O94906;Q9NTE6;Q9H4T9;Q5VXS5,0.001,3.965
IPI00306301,"PDHA1 pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial isoform 2 precursor;>IP",Q6LCA3;Q5JPU1;Q5JPU2;Q5JPU0;P78557;Q5JPT8;Q5JPU3;Q99724;Q99725;Q5JPT9;Q9UNV7;Q53H41;Q9NP11;Q9NP12;Q9UBU0;Q53GE3;Q9UNG4;P08559;Q9UNG5;Q9UBJ8,0.016,0.694
IPI00306322,"COL4A2 Collagen alpha-2(IV) chain",Q66K23;Q14052;Q548C3;P08572;Q5VZA9,0.006,2.582
IPI00306516,"TIMM44 Mitochondrial import inner membrane translocase subunit TIM44",Q53G69;Q8N193;O43615;Q9UPE4;Q6AI07;A8K0R9,0.003,0.315
IPI00306960,"NARS Asparaginyl-tRNA synthetase, cytoplasmic",O43776;Q53GU6,0.014,0.467
IPI00329331,"UGP2 Isoform 1 of UTP--glucose-1-phosphate uridylyltransferase",Q16851;Q07131;Q0P6K2;Q9BU15;Q86Y81;Q53QE9,0.018,0.586
IPI00329573,"COL12A1 Isoform 1 of Collagen alpha-1(XII) chain",Q5VYK1;Q5VYK2;O43853;Q5TF09;Q86TG9;Q71UR3;Q99715;Q99716;Q15955,0.008,35.618
IPI00332106,"PBXIP1 Isoform 1 of Pre-B-cell leukemia transcription factor-interacting protein 1",Q5T176;Q9HA02;Q5T174;Q9H8X6;Q96AQ6;Q9HD85,0.011,1.572
IPI00336008,"ALDH5A1 succinate-semialdehyde dehydrogenase, mitochondrial isoform 1 precursor",Q8N3W6;P51649;B2RD26;Q8N3W7;Q546H9,0.043,0.481
IPI00374657,"VAPA Isoform 2 of Vesicle-associated membrane protein-associated protein A",Q9P0L0;Q9UBZ2;Q5U0E7;A6NDZ0;O75453,0.048,1.504
IPI00376403,"SPINT1 Isoform 1 of Kunitz-type protease inhibitor 1",Q7Z7D2;O43278,0.047,0.797
IPI00386189,"NAA15 Isoform 1 of N-alpha-acetyltransferase 15, NatA auxiliary subunit",Q9H8P6;Q58F05;Q9BXJ9;Q8NEV2;Q52LG9;Q8IWH4,0.004,2.738
IPI00386755,"ERO1L ERO1-like protein alpha",A8MYW1;Q9UKV6;Q96HE7;Q7LD45;A8K9X4;Q9P1Q9,0.036,2.324
IPI00386803,"LASP1 Isoform 2 of LIM and SH3 domain protein 1",Q96ED2;Q96IG0;Q14847,0.01,1.422
IPI00394668,"ADAR Isoform 4 of Double-stranded RNA-specific adenosine deaminase",B1AQQ9;Q59EC0;Q9BYM3;O43859;Q9BYM4;P55265;O15223;B1AQR0;O43860,0.043,2.279
IPI00395462,"C15orf63 Isoform 2 of Huntingtin-interacting protein K",Q71RB0;O75918;O75408;O88891;Q9BZH7;Q9NX55;Q9P024;Q8WUW8;P84101,0.016,1.924
IPI00396321,"LRRC59 Leucine-rich repeat-containing protein 59",Q96AG4;Q9P189,0.011,1.88
IPI00396378,"HNRNPA2B1 Isoform B1 of Heterogeneous nuclear ribonucleoproteins A2/B1;>IP",P22626;A8K064;P22627;Q9UC98,0.034,1.478
IPI00399265,"TPD52L2 tumor protein D54 isoform a",Q9H3Z6;Q5JWU6;Q5JWU5;Q53GA0;O43399;Q5JWU8;O43398;Q5U0E0;Q5J908;Q6FGS1;Q68E05,0.019,1.497
IPI00409717,"MIR1248;SNORA4;SNORD2;EIF4A2;SNORA81;SNORA63 Isoform 2 of Eukaryotic initiation factor 4A-II",Q96B90;Q96EA8;Q9NZE6;Q86WD0;Q14240;Q59GT8;Q53XJ6;Q5JWW0;Q96B07,0.041,0.509
IPI00410270,"SLC4A4 Isoform 1 of Electrogenic sodium bicarbonate cotransporter 1",Q9Y6R1;O15153;Q9Y6R3;Q8NEJ2;Q68DB0;Q9H262;Q9UIC1;Q9NRZ1;A5JJ20;Q9UP50;Q9UIC0,0.028,0.52
IPI00410351,"NCOR1 Isoform 1 of Nuclear receptor corepressor 1",Q86YY0;Q9UQ18;Q9UPV5;Q6PDT8;Q86YY2;O75376;Q86YY1;Q3B773;Q86W52;Q9NSZ0;Q05CG3;Q6NTH1;Q9UPY1;Q6PGR4;B3DLF8;Q9UPY2;Q7Z516,0.003,5.84
IPI00411520,"C14orf159 Isoform 2 of UPF0317 protein C14orf1",Q86SW3;Q9H9W6;B3KUI7;Q53HP9;Q4LE40;Q8NB88;Q96GW5;Q9H8Y9;Q6IA66;Q86T08;Q86TV5;Q86SX8;Q86SX9;Q9H7G0;Q7Z3D6,0.017,0.261
IPI00412105,"USH1C harmonin isoform b3",Q9H758;Q9UM04;Q9UPC3;Q9UM17;Q9Y6N9;Q7RTU8;A8K423;Q96B29,0.038,0.524
IPI00412272,"SH3BGRL2 SH3 domain-binding glutamic acid-rich-like protein 2",Q8IWD3;Q7Z734;Q6P9E8;Q9UJC5;Q9BPY5;A8MQU2;Q5VV96;Q2VPC2;Q6NSK8,0.006,0.477
IPI00412771,"CD2AP CD2-associated protein",Q5VYA3;A6NL34;Q9Y5K6;Q9UG97,0.036,0.647
IPI00413611,"TOP1 DNA topoisomerase 1",Q6PK95;Q6NWZ5;P11387;Q9BVT2;O43256;Q12856;Q15610;Q12855;Q9UJN0;A8KA78;Q5TFY3,0.001,4.04
IPI00418313,"ILF3 interleukin enhancer-binding factor 3 isoform d",Q12906;Q9UMZ9;Q9UN00;Q9NQ95;Q9NQ97;Q9NQ96;Q9NQ99;Q9NQ98;Q99545;Q99544;Q6P1X1;A8K6F2;Q9UN84;O43409;Q9NRN2;Q9NRN3;Q9NXX0;Q9BZH5;Q9NRN4;Q9UNA2;Q9BZH4;Q9NQA2;Q59GP7;Q9NQA0;Q86XY7;Q9NQA1,0.042,1.328
IPI00419585,"PPIA Peptidyl-prolyl cis-trans isomerase A",Q3KQW3;Q9BTY9;Q71V99;P62937;Q96IX3;A8K220;P05092;Q6IBU5;Q9UC61;Q9BRU4;Q567Q0,0.047,1.447
IPI00419880,"SNORD73A;RPS3A 40S ribosomal protein S3a",P49241;P61247;B2R4D4;Q6NXR8;P33443,0.005,1.858
IPI00419979,"PAK2;LOC646214 Serine/threonine-protein kinase PAK 2",Q13154;A8K5M4;Q6ISC3;Q13177,0.011,1.587
IPI00420108,"DLST;DLSTP1 Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondr",Q86SW4;Q6IBS5;Q9BQ32;Q16187;Q7LDY7;Q86TW7;Q86TQ8;P36957;Q6LEQ7,0.038,0.686
IPI00423464,"IGHV4-31;IGHG1 Putative  DKFZp686K03196",Q6ZP87;P01871;Q6ZP85;Q6N030;Q6N097;Q7Z351;A2NU35;Q6N096;Q6N095;Q6P089;Q5EFE5;Q6N094;Q6MZQ6;P01857;Q96QR9;Q6N089;P01860;Q6MZU6;Q6GMX6;Q6PYX1;Q9ULB6;Q0ZCI1;Q96QS0;Q8NF17;P20769;Q86TT2;Q86TT1,0.031,0.262
IPI00440703,"GSTK1 Isoform 2 of Glutathione S-transferase kappa 1",B4DIH1;Q9P1S4;Q2NLC8;Q7Z520;Q6FII1;B4DSY2;Q6P4H0;Q9Y2Q3,0.012,1.813
IPI00452731,"NDUFA7 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",Q32Q14;Q6IB89;Q6FG42;O95182,0.016,0.375
IPI00455457,"Uncharacterized protein",NA,0.001,12.43
IPI00456008,"ATP5J ATP synthase-coupling factor 6, mitochondrial isoform b precursor",Q6IB54;Q6NZ59;P18859,0.004,0.649
IPI00456887,"HNRNPUL2 Heterogeneous nuclear ribonucleoprotein U-like protein 2",Q8N3B3;Q1KMD3,0.046,0.741
IPI00464952,"SRSF11 Serine/arginine-rich splicing factor 11",Q6PJY9;Q6N079;Q5T760;Q6PKC9;Q8IWE6;Q8NI74;Q5T757;Q5HYN2;Q6PJB9;Q05BU6;Q05519;Q5T758;Q6MZM2,0.012,2.04
IPI00465038,"FBLN2 Isoform 2 of Fibulin-2",Q9Y3V7;B7Z9C5;Q86V58;Q8IUI1;Q8IUI0;P98095,0.028,2.54
IPI00465248,"ENO1 Isoform alpha-enolase of Alpha-enolase",Q9BT62;Q71V37;Q53FT9;P06733;Q8WU71;Q96GV1;B2RD59;Q16704;Q658M5;Q7Z3V6;Q9UM55;Q53HR3;Q9UCH6;P22712;Q6GMP2;Q4TUS4,0.025,1.385
IPI00465343,"ADH1C Alcohol dehydrogenase 1C",Q4ZGI9;Q6LBW4;Q71V49;Q17R68;Q6NWV0;Q13711;P07327;P00326;Q5WRV0;P00325;A8K3E3;Q6NZA7;Q4PJ18;Q96KI7,0.044,0.435
IPI00470528,"Uncharacterized protein",P41051;P39030;Q6IPX6;Q9H2E5;Q8WYP2;Q96C44;Q76N55;Q642I1;Q5U0C0;P61313,0.035,1.571
IPI00477957,"CLYBL Isoform 1 of Citrate lyase subunit beta-like protein, mitochondrial;",Q8N0X4;Q5JVC0;Q8TDH8;Q5W0F7,0.01,0.34
IPI00478603,"Uncharacterized protein",Q9BCT7;Q6B9Y6;P79492;Q6B9Y5;Q6B9Y0;Q6B9Y4;Q6B9Y3;Q6B9Y2;Q6B9Y1;Q95347;Q8MGQ7;Q68YS0;Q30182;Q68YS3;Q68YS4;Q68YS1;Q68YS2;Q6B845;Q6B846;P17693;Q6B847;Q31611;Q6B848;Q68YR8;Q68YR9;Q6B844;Q30170;Q29897;Q9MYA2;Q6B849;Q8WLS1;Q9TP10;Q95371;Q9TP11;Q8MH47;Q9TP12;Q6DU14;Q9TP13;Q9TP14;Q8MH48;Q8WLP2;Q9MW45;Q6B850;Q95370;Q6B851;Q9UM45;Q95356;Q95HM6;Q6DL85;Q6DL86;Q6DL87;Q6DL88;Q6DL89;Q95391;Q6DU08;Q6UV35;Q7JFN0,0.007,2.063
IPI00478997,"IGLV4-69 V5-6 protein",Q5NV92,0.042,0.287
IPI00479262,"EIF4G1 eukaryotic translation initiation factor 4 gamma 1 isoform 1",Q6ZN21;Q8N102;O95066;Q96I65;Q5HYG0;Q4LE58;Q04637;O43177,0.03,2.281
IPI00479708,"IGHM Full-length cDNA clone CS0DD006YL02 of Neuroblastoma of Homo sapiens",Q6ZP87;P01871;Q6ZP85;Q6N030;Q6N097;Q7Z351;A2NU35;Q6N096;Q6N095;Q6P089;Q5EFE5;Q6N094;Q6MZQ6;P01857;Q96QR9;Q6N089;P01860;Q6MZU6;Q6GMX6;Q6PYX1;Q9ULB6;Q0ZCI1;Q96QS0;Q8NF17;P20769;Q86TT2;Q86TT1,0.043,0.493
IPI00479877,"ALDH9A1 4-trimethylaminobutyraldehyde dehydrogenase",Q5VV90;P49189;B9EKV4;Q9NZT7;B2R6X1;Q6LCL1,0.02,0.619
IPI00479905,"NDUFB10 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10",Q96RX5;Q96II6;O96000;A8K761,0.02,0.724
IPI00513827,"ACADM Putative  DKFZp686M24262",P11310;Q5T4U4;Q9NYF1;Q5T4U5;Q5HYG7,0.016,0.638
IPI00549330,"similar to Ig kappa chain V-IV region JI precursor",NA,0.036,0.614
IPI00550021,"SNORD43;RPL3 60S ribosomal protein L3",Q9BT63;Q96QL0;Q49AJ9;Q8TBW1;B2RDV9;Q7Z5Z5;Q15548;B3KS36;A6NHB7;Q9NY85;Q5I0G0;P39023,0.017,1.625
IPI00554481,"SLC3A2 Isoform 4 of 4F2 cell-surface antigen heavy chain",Q13543;P08195,0.033,2.565
IPI00554723,"SNORA70;RPL10 60S ribosomal protein L10",Q9GZW2;Q6FGN8;A3KQT0;Q53FH7;Q16470;P27635;Q5HY50;Q2HXT7;Q8TDA5,0.037,2.388
IPI00604590,"NME1;NME2;NME1-NME2 Nucleoside diphosphate kinase",Q86XQ2;A8MWA3;Q1WM23;Q6LCT6;P22392;Q6FGK3;Q32Q12;Q6FHN3;P15531,0.031,1.679
IPI00607801,"CES1 Isoform 2 of Liver carboxylesterase 1",Q16788;A6NIM1;Q9ULY2;P23141;Q13657;Q6LAP9;Q96EE8;Q16737;Q9UDG8;Q14062;A8K844;Q2WG84;P82127;Q00015;Q9UK77;A8K3K8;Q9UC52;Q549X8;Q86UK2;Q549X7,0.039,1.957
IPI00643623,"LCN2 Neutrophil gelatinase-associated lipocalin",Q5SYW0;P80188;P30150;Q92683;Q6FGL5;Q5SYV9,0,39.559
