Experiment,UniProtKB,Name,t010/t000,t030/t000,t060/t000,t120/t000
transcriptomics,O32107,yuiD,0.72,1.681,0.561,0.023
transcriptomics,O32065,ytzB,0.081,2.22,1.38,0.534
transcriptomics,O31461,ybgE,0.178,-0.067,0.348,1.32
transcriptomics,O07603,yhfE,-0.773,-2.242,-1.17,-0.353
transcriptomics,P28619,rph,0.631,1.581,0.737,0.159
transcriptomics,P54505,yqhB,3.994,5.368,2.503,3.133
transcriptomics,P35166,rsiX,-1.736,-1.855,-1.636,-1.944
transcriptomics,P96705,ydgG,0.411,1.518,0.597,-0.384
transcriptomics,O06965,yvrA,-0.927,-0.552,0.928,0.693
transcriptomics,O34599,yrvO,1.628,2.115,1.262,0.94
transcriptomics,P31104,aroF,-1.056,-3.17,-2.171,-1.603
transcriptomics,P39780,xkdA,0.451,1.222,-0.438,-0.171
transcriptomics,P35165,sigX,-2.42,-2.301,-1.958,-2.154
transcriptomics,O31626,yjcD,-0.474,-0.939,-0.141,0.142
transcriptomics,O32113,yutM,0.458,2.221,1.826,0.455
transcriptomics,P94447,yrbC,-0.447,1.03,0.432,-0.916
transcriptomics,O34777,ohrR,1.135,1.6,0.928,0.589
transcriptomics,P24501,flgC,-0.179,-2.347,-2.728,-1.357
transcriptomics,O31909,yorE,1.953,2.962,1.738,1.74
transcriptomics,Q45060,tlp,0.707,0.589,0.412,1.271
transcriptomics,P70972,ybaF,1.869,2.17,1.928,1.705
transcriptomics,O34680,ydiP,0.533,1.836,0.933,0.654
transcriptomics,P24502,fliE,-0.404,-2.113,-2.644,-1.533
transcriptomics,O31661,kinE,-1.12,-2.2,-1.558,-0.662
transcriptomics,P14949,trxA,0.678,2.467,1.129,0.178
transcriptomics,P25053,tenI,-0.111,-1.376,-0.166,0.042
transcriptomics,P37816,atpI,-0.678,-1.594,-0.274,-0.376
transcriptomics,P54470,yqfL,-0.549,-1.096,-0.862,-0.95
transcriptomics,O31606,yjbH,-0.837,0.858,0.291,-0.304
transcriptomics,O32044,yrvE,-0.495,-0.519,-0.187,-0.788
transcriptomics,P53555,bioA,-0.919,-3.239,-0.508,0.121
transcriptomics,O34925,deoD,-1.181,-2.256,-0.585,-0.564
transcriptomics,P05043,spo0E,2.268,2.129,0.86,0.904
transcriptomics,P71002,rapF,-2.413,-5.131,-2.127,-2.124
transcriptomics,P50736,ypdA,0.399,1.52,1.252,1.001
transcriptomics,P37947,degA,0.598,2.133,0.757,1.209
transcriptomics,P12011,gntK,2.401,3.15,3.353,2.991
transcriptomics,P42105,yxaF,-0.436,-0.457,0.311,0.052
transcriptomics,O34508,ykfB,-0.265,-2.151,-1.429,-0.602
transcriptomics,P03964,trpC,1.433,1.269,0.366,0.388
transcriptomics,O31787,ymaE,-0.724,-2.261,-1.279,-0.68
transcriptomics,P54506,sipW,-0.833,-3.288,-3.873,-2.919
transcriptomics,O07519,yhaK,-1.902,-2.202,-1.359,-1.457
transcriptomics,Q45462,opuBC,1.86,3.228,2.202,2.217
transcriptomics,O31437,ybdO,-0.359,-2.086,-2.458,-1.79
transcriptomics,O34979,yvrO,-0.354,-1.871,-1.785,-1.064
transcriptomics,P39158,cspC,1.053,0.776,0.082,-0.011
transcriptomics,P05656,sacC,1.367,2.746,1.754,1.73
transcriptomics,P96702,ydgD,-0.195,0.838,0.581,-0.389
transcriptomics,P39639,bacB,-0.721,-2.557,-1.809,-1.167
transcriptomics,P54451,yqeF,0.309,1.403,0.325,0.612
transcriptomics,P54154,msrA,0.789,2.525,1.899,1.085
transcriptomics,O06978,yvcP,-0.822,-1.165,-0.883,-0.854
transcriptomics,P54490,yqgM,-0.861,-1.402,-0.475,-0.838
transcriptomics,P54335,xkdP,0.56,0.311,-0.394,-0.698
transcriptomics,P15400,sacX,0.256,1.141,1.612,1.379
transcriptomics,P25814,rnpA,-2.668,-2.363,-1.075,-1.265
transcriptomics,O34577,cysC,0.29,-0.868,-0.345,0.483
transcriptomics,O34447,yceF,0.618,2.218,1.705,1.216
transcriptomics,P54417,opuD,0.788,1.994,1.439,1.295
transcriptomics,P39839,yuxL,-0.484,-0.976,-0.504,-0.235
transcriptomics,O35014,ykuI,1.432,3.414,0.804,0.774
transcriptomics,P54489,yqgL,-0.962,-1.51,-0.662,-0.682
transcriptomics,P05645,leuB,0.232,-1.107,-0.718,-0.405
transcriptomics,P19080,aroH,-0.123,-1.837,-1.594,-0.736
transcriptomics,P15401,sacY,0.42,1.368,1.559,1.068
transcriptomics,O31619,thiF,0.215,-0.736,0.063,0.429
transcriptomics,P42234,katE,3.256,4.598,2.76,3.559
transcriptomics,O34529,pfkA,-1.42,-1.936,-0.709,-0.901
transcriptomics,P42311,yxiT,0.465,2.48,0.794,0.849
transcriptomics,P94368,yxkO,1.523,3.357,2.255,1.803
transcriptomics,P32396,hemH,0.087,1.08,0.541,0.207
transcriptomics,P94542,yshA,0.897,2.115,1.18,0.638
transcriptomics,P39139,yxxB,1.19,2.509,0.147,0.718
transcriptomics,P39592,ywbI,0.558,1.106,0.801,0.467
transcriptomics,P23129,odhA,-0.175,-1.546,-0.513,-0.186
transcriptomics,P54334,xkdO,0.231,0.004,-0.703,-0.916
transcriptomics,Q04796,dapA,-0.211,-1.306,-0.106,0.114
transcriptomics,P39638,bacA,-1.377,-2.732,-2.034,-1.578
transcriptomics,P33449,bmr,4.344,5.387,3.551,4.174
transcriptomics,O31457,ybfQ,0.819,2.332,1.454,0.899
transcriptomics,P54396,ypmB,-1.115,-2.406,-0.701,-0.63
transcriptomics,O34726,yflS,2.913,3.791,1.625,1.549
transcriptomics,P28671,yoxB,3.539,5.377,3.254,3.514
transcriptomics,O32245,yvbH,0.226,1.352,2.659,0.948
transcriptomics,O35020,trmU,1.239,1.731,1.489,1.494
transcriptomics,O34418,yfkI,2.323,3.575,1.437,2.093
transcriptomics,O34712,ytrA,0.15,1.078,0.727,-0.972
transcriptomics,O34939,ydiO,0.157,1.7,0.528,0.246
transcriptomics,O31452,ybfK,-1.266,-1.394,-1.463,-1.215
transcriptomics,P39074,bmrU,5.507,5.803,4.133,4.898
transcriptomics,P06630,eag,1.142,1.789,0.293,0.531
transcriptomics,O31847,yozO,2.935,3.596,1.161,1.138
transcriptomics,O07619,yhfT,-1.406,-3.105,-0.22,-0.193
transcriptomics,O07606,yhfH,2.428,3.133,1.261,0.957
transcriptomics,O05217,ywrC,-0.401,0.548,-0.627,-0.474
transcriptomics,P37584,csaA,-1.339,-2.306,-1.323,-0.708
transcriptomics,P21340,paiA,0.202,1.971,1.316,-0.261
transcriptomics,P37948,glpT,0.035,-0.613,-0.31,0.442
transcriptomics,O34311,ykoW,-1.421,-1.319,-1.454,-1.662
transcriptomics,O34347,argG,-0.659,-2.526,-1.444,-0.649
transcriptomics,O34774,yobJ,1.625,2.982,1.203,-0.034
transcriptomics,P10944,hutH,1.182,1.767,1.762,1.459
transcriptomics,O31430,skfH,-0.559,-2.209,-2.374,-1.758
transcriptomics,P39607,ywcI,-1.432,-4.1,-4.06,-3.224
transcriptomics,O31719,ykzI,5.136,5.354,2.697,3.342
transcriptomics,P71020,ylmH,-2.347,-2.83,-0.657,-0.439
transcriptomics,P07343,fumC,-0.697,-2.498,-0.637,-0.453
transcriptomics,P26935,idh,1.096,1.755,1.722,1.78
transcriptomics,P38491,ypfA,-1.984,-1.429,-1.154,-1.69
transcriptomics,O32277,ywmB,-1.867,-1.913,-1.142,-1.536
transcriptomics,P94495,yncE,-1.643,-2.1,-1.328,-1.171
transcriptomics,P71071,yukD,-1.504,-1.47,-0.732,-0.499
transcriptomics,O32163,nifU,0.977,1.96,1.998,1.451
transcriptomics,P51835,ftsY,0.331,-0.88,-0.569,-0.155
transcriptomics,O31785,pksS,-1.306,-2.014,-1.622,-0.992
transcriptomics,P25144,ccpA,-1.336,-1.757,-0.408,-1.116
transcriptomics,P49941,gerKC,0.621,1.936,1.402,0.989
transcriptomics,O34413,ytcC,0.584,1.22,1.029,2.733
transcriptomics,O34942,recG,0.449,0.684,0.904,0.987
transcriptomics,O31488,ydaN,0.854,2.004,0.702,0.561
transcriptomics,Q796Z1,ygaC,-0.522,1.34,0.318,-0.505
transcriptomics,O31486,ydaJ,0.922,1.925,0.196,0.395
transcriptomics,P36838,carA,0.458,-1.348,-1.101,-0.256
transcriptomics,P32731,rbfA,1.08,1.955,0.74,0.497
transcriptomics,P96630,ydcM,-1.334,-1.869,-1.849,-1.169
transcriptomics,P71018,plsX,-0.186,-0.744,-0.616,0.296
transcriptomics,P94559,ysnB,0.72,1.042,0.802,0.999
transcriptomics,P94547,lcfA,0.06,0.838,0.832,0.224
transcriptomics,P50839,gpsB,1.269,1.821,1.385,1.397
transcriptomics,P21341,paiB,0.481,1.963,1.369,0.437
transcriptomics,O05236,alaR,-0.14,-1.073,-0.046,-0.07
transcriptomics,O34619,yccB,-0.149,-0.515,-1.144,-1.015
transcriptomics,P23630,lysA,-0.828,-1.122,-0.108,0.434
transcriptomics,O34507,prkC,-1.734,-2.953,-0.858,-1.365
transcriptomics,O34708,yflA,3.868,4.041,1.962,2.223
transcriptomics,O32117,yutJ,-0.945,-1.262,-1.429,-0.893
transcriptomics,P80874,yhdN,3.163,3.832,1.998,2.286
transcriptomics,P42923,rplJ,-0.067,-1.496,-0.561,-0.03
transcriptomics,P71046,ywgA,-1.137,-1.984,-0.224,-0.164
transcriptomics,O31850,yojN,-0.304,0.587,0.529,-0.259
transcriptomics,O32111,yuzG,0.089,1.512,0.425,-0.098
transcriptomics,O32241,sdpI,0.227,2.759,2.202,0.836
transcriptomics,O31471,mdr,-0.576,-1.891,-1.822,-1.4
transcriptomics,P94521,ysdC,-1.15,-2.376,-0.946,-1.409
transcriptomics,P39798,xhlA,0.576,-0.263,-0.921,-0.831
transcriptomics,O34514,menC,0.953,2.561,1.085,1.256
transcriptomics,O30601,yojQ/S,0.219,-1.236,0.388,0.305
transcriptomics,O34997,ykoY,-1.768,-1.687,-1.485,-1.455
transcriptomics,Q9R9I1,yvtA,0.817,1.312,0.776,0.925
transcriptomics,O32242,sdpR,1.576,3.382,2.546,1.537
transcriptomics,O34745,yodF,-0.339,-1.939,-0.813,-0.287
transcriptomics,Q01620,jag,-0.444,-1.774,-0.982,-0.996
transcriptomics,O05401,yrhK,0.665,2.193,1.229,0.578
transcriptomics,O31829,yoaF,0.912,2.193,0.715,0.724
transcriptomics,P54156,yplP,3.074,3.372,1.629,1.805
transcriptomics,O34762,ohrA,0.679,0.869,0.642,0.744
transcriptomics,P39815,gid,-0.204,-1.568,-0.788,-0.996
transcriptomics,O07618,yhfS,-0.993,-2.465,-0.217,-0.128
transcriptomics,O06714,sbcC,0.618,1.549,1.761,1.207
transcriptomics,P94531,abfA,0.669,1.553,0.626,0.663
transcriptomics,P42103,yxaD,-0.004,1.057,-0.032,0.418
transcriptomics,P54564,yqkA,-1.62,-3.149,-1.188,-1.389
transcriptomics,P06628,spo0F,-1.378,-2.635,-1.874,-1.094
transcriptomics,P46917,ggaA,3.595,3.962,1.827,2.34
transcriptomics,P39589,ywbF,-0.891,-1.735,-0.594,-0.478
transcriptomics,P40949,yqxM,-0.996,-3.426,-3.924,-3.043
transcriptomics,O34569,yoaA,1.867,3.939,1.668,1.982
transcriptomics,P31845,spoVAF,0.086,0.976,1.225,0.944
transcriptomics,P54427,ybxI,-0.215,-1.319,-0.831,-0.071
transcriptomics,P54552,proI,-0.934,-1.319,-0.852,-0.933
transcriptomics,O31618,thiG,0.206,-0.892,0.269,0.432
transcriptomics,O05254,yufP,-0.143,-1.642,-1.54,-1.439
transcriptomics,P37562,yabT,-0.8,0.475,-1.092,-1.203
transcriptomics,P37813,atpB,-1.752,-4.146,-1.481,-1.045
transcriptomics,P40761,yuxK,0.11,-0.818,-0.302,-0.224
transcriptomics,Q04795,dapG,-0.276,-1.831,-1.062,-0.268
transcriptomics,P37957,lipA,-1.244,-3.782,-2.12,-0.601
transcriptomics,P96736,capB,1.886,2.776,2.191,2.172
transcriptomics,O32207,yvgK,0.788,1.466,1.219,0.947
transcriptomics,P39637,ywfA,0.167,1.21,1.936,0.724
transcriptomics,P28368,yvyD,3.29,2.534,1.87,2.339
transcriptomics,P37811,atpH,-0.325,-2.594,-1.157,-1.025
transcriptomics,O31627,yjcE,5.136,5.639,4.234,5.116
transcriptomics,P96614,ydbR,0.069,1.042,0.248,0.03
transcriptomics,O31889,yorZ,1.379,1.684,0.523,0.46
transcriptomics,O34989,yvrG,-0.328,-1.627,-0.874,-0.625
transcriptomics,O32098,yueE,1.177,2.506,1.714,1.308
transcriptomics,P94357,yxkD,-0.276,-1.579,-0.957,-0.731
transcriptomics,P39583,ywaC,0.327,1.552,0.965,-0.001
transcriptomics,O32087,yuzA,0.563,2.191,0.788,0.221
transcriptomics,P39571,gerBC,0.354,1.692,1.049,0.56
transcriptomics,P94434,ycnL,0.955,1.672,0.779,0.707
transcriptomics,O31995,yokL,-0.976,-1.913,-0.914,-0.49
transcriptomics,O31617,thiS,0.03,-1.002,-0.163,-0.007
transcriptomics,P94391,ycgN,0.173,-0.682,0.214,1.206
transcriptomics,O31602,spxA,2.63,2.448,1.565,1.565
transcriptomics,O07906,yraN,-1.032,-1.727,-1.099,-0.373
transcriptomics,P94520,ysdB,0.627,1.683,0.705,-0.177
transcriptomics,P96576,ydaC,4.484,5.526,3.393,4.002
transcriptomics,O34527,yrzC,1.12,2.114,0.788,-0.104
transcriptomics,O31607,yjbI,-0.704,0.932,0.474,-0.207
transcriptomics,P54515,yqhQ,2.425,2.807,1.102,1.794
transcriptomics,P37810,atpG,0.206,-1.629,-0.949,0.009
transcriptomics,O31637,yjcO,-0.152,-0.799,-0.975,-1.104
transcriptomics,O35016,yfkJ,2.164,3.411,1.651,2.252
transcriptomics,P96587,ydaM,0.762,1.812,0.273,0.081
transcriptomics,O08335,yrhI,0.126,1.701,2.383,-0.025
transcriptomics,P39582,menA,-0.7,-0.877,-0.906,-0.871
transcriptomics,O31822,yngB,0.668,2.053,1.792,1.179
transcriptomics,P71084,gsaB,0.603,1.549,1.459,1.139
transcriptomics,O07625,ylaA,0.539,1.008,0.317,0.282
transcriptomics,P54326,xkdF,0.471,0.157,-0.695,-0.699
transcriptomics,P36843,argJ,-0.459,-1.755,-1.589,-0.343
transcriptomics,O34719,yvlC,1.555,2.87,1.59,1.597
transcriptomics,P37537,tmk,0.168,2.027,0.579,0.477
transcriptomics,O34500,mntD,0.495,2.202,1.02,1.07
transcriptomics,O05252,yufN,-0.149,-1.906,-2.284,-1.083
transcriptomics,O34953,ytrD,0.1,0.801,0.645,-0.688
transcriptomics,O34738,ykoE,-0.543,-2.223,-1.244,-0.825
transcriptomics,P26904,dppC,-0.174,-1.098,-1.127,0.128
transcriptomics,O05506,ydhN,0.773,1.43,0.846,0.799
transcriptomics,P37959,yusZ,0.097,-1.001,-0.528,-0.402
transcriptomics,P07601,trpA,-0.84,-1.87,-1.635,-0.79
transcriptomics,P55872,infC,0.623,2.069,0.535,1.102
transcriptomics,O05263,rhaM,0.745,1.099,0.996,1.267
transcriptomics,P17921,pheS,-0.778,-1.457,-0.524,-1.031
transcriptomics,P06574,sigB,3.157,3.387,2.045,3.223
transcriptomics,P68729,argB,0.287,-1.187,-1.233,-0.184
transcriptomics,O32263,yvdC,-1.729,-2.628,-1.093,-0.833
transcriptomics,P39754,glmS,-0.933,-1.815,-0.515,-0.658
transcriptomics,P18185,carB,0.224,-1.54,-1.034,0.177
transcriptomics,P37877,ackA,-0.49,-1.096,0.794,-0.316
transcriptomics,O07596,yheN,-0.963,-1.652,-0.439,-0.626
transcriptomics,O34672,ydiM,0.187,1.108,0.582,0.156
transcriptomics,O35027,yjgA,-0.321,1.453,0.054,-0.188
transcriptomics,O34617,yloN,0.07,-0.626,0.273,0.092
transcriptomics,O32232,yvaK,1.424,2.113,0.723,0.861
transcriptomics,P54330,xkdJ,0.31,-0.01,-0.652,-0.877
transcriptomics,P80872,yocK,3.549,4.949,2.991,3.685
transcriptomics,P31080,lexA,0.816,1.582,1.244,0.727
transcriptomics,O34471,ytlQ,-1.075,-1.689,-0.887,-1.026
transcriptomics,O06474,yfmP,2.066,2.678,1.406,2.037
transcriptomics,O31852,cwlS,-1.111,-3.048,-1.512,-0.59
transcriptomics,P71021,divIVA,-0.825,-1.816,-0.634,-0.611
transcriptomics,P71021,divIVA,-0.825,-1.816,-0.634,-0.611
transcriptomics,P96691,ydfM,-1.237,-1.77,-1.256,-0.719
transcriptomics,P54339,xkdT,0.612,0.471,-0.043,-0.384
transcriptomics,P70963,ywmF,0.654,2.235,0.408,0.518
transcriptomics,O32282,ywzA,4.357,5.992,3.765,3.751
transcriptomics,O32002,yokE,-1.565,-1.798,-1.61,-1.73
transcriptomics,O34411,hisK,-1.147,0.003,0.787,0.587
transcriptomics,O34782,yvrD,0.047,1.763,1.345,0.219
transcriptomics,O34709,yvbF,0.713,1.919,3.352,1.601
transcriptomics,P42961,ycsD,3.018,4.041,2.393,3.132
transcriptomics,P45929,yqbM,0.934,2.309,0.547,0.765
transcriptomics,P28611,motA,-0.31,-1.807,-2.322,-1.522
transcriptomics,P54155,msrB,0.66,2.339,1.856,1.325
transcriptomics,P96728,ywsA,1.18,1.968,1.035,1.012
transcriptomics,O34809,yceG,0.377,2.123,1.663,0.813
transcriptomics,O31579,yfhK,4.597,5.332,3.288,3.715
transcriptomics,P54514,yqhP,2.2,2.629,1.092,1.46
transcriptomics,P45863,ywjC,1.912,3.128,-0.116,-0.028
transcriptomics,P46334,yxcD,0.501,2.517,0.554,0.08
transcriptomics,O06746,yitK,-0.799,-1.429,-0.507,-0.59
transcriptomics,O06722,yisI,-0.043,1.1,-0.188,-0.151
transcriptomics,O31636,yjcN,-1.807,-2.434,-1.925,-2.073
transcriptomics,O34720,yjgC,2.678,4.644,2.402,3.079
transcriptomics,O31574,yfhF,2.516,2.995,1.282,1.376
transcriptomics,O06719,gerPC,0.033,0.539,0.517,1.975
transcriptomics,O34322,yvlA,1.688,2.98,1.128,0.959
transcriptomics,P07819,sacA,0.68,1.372,1.717,1.924
transcriptomics,P39604,ywcF,-0.379,0.744,0.34,-0.755
transcriptomics,P42981,ypjG,-1.706,-2.249,-0.705,-0.647
transcriptomics,O34325,ytrP,0.028,1.046,-0.082,-0.118
transcriptomics,O30512,yvaV,-0.004,1.031,1.025,0.436
transcriptomics,Q04805,ymxG,-1.442,-2.35,-1.428,-1.27
transcriptomics,P06629,ywjG,0.195,1.242,1.607,0.538
transcriptomics,P94571,ywoA,-1.148,0.247,0.399,-1.543
transcriptomics,P28628,sipS,-0.438,0.308,-0.078,-0.254
transcriptomics,P39585,ywbB,0.172,0.683,1.212,0.496
transcriptomics,P39148,glyA,0.085,-0.879,-0.704,-0.227
transcriptomics,P94584,fabZ,-0.808,-1.304,0.032,0.33
transcriptomics,O34916,ykuR,0.112,-1.101,-0.189,0.236
transcriptomics,P14951,uvrC,1.618,2.904,1.425,1.108
transcriptomics,P37872,ybxB,-0.596,-1.648,-1.308,-0.7
transcriptomics,Q08429,kapB,-1.68,-2.404,-1.344,-1.615
transcriptomics,P37524,yyaA,-0.146,-0.772,-0.217,0.019
transcriptomics,O34887,yflB,1.001,1.652,0.923,0.485
transcriptomics,O34791,yopO,-1.592,-1.686,-1.656,-1.339
transcriptomics,P42422,yxdK,-0.933,-1.372,-0.285,-0.315
transcriptomics,O32254,yvbT,-0.313,1.829,1.435,0.132
transcriptomics,P19638,dgkA,0.443,-0.845,0.2,-0.295
transcriptomics,O32104,yuiG,-0.026,-0.655,1.106,0.529
transcriptomics,P94377,katX,0.798,2.445,1.027,0.987
transcriptomics,O34647,yobD,-1.497,-1.121,-0.957,-1.095
transcriptomics,P54504,yqhA,0.798,1.372,-0.325,-0.473
transcriptomics,P37467,xpaC,1.145,2.123,0.669,0.592
transcriptomics,P94388,cah,-1.082,-2.008,-1.285,-0.496
transcriptomics,O34475,yfkO,0.267,0.603,1.443,0.341
transcriptomics,Q03523,murE,-1.43,-2.552,-1.539,-1.744
transcriptomics,O34526,alaS,0.019,-1.267,-0.1,-0.112
transcriptomics,O31535,yetH,-1.227,-2.345,-1.333,-1.283
transcriptomics,P70998,speE,-2.392,-2.168,-1.71,-1.957
transcriptomics,P80865,sucD,0.091,-2.004,-0.538,-0.17
transcriptomics,Q06797,rplA,0.239,-0.717,0.134,0.082
transcriptomics,O31658,ykrM,-0.271,1.261,0.701,0.253
transcriptomics,O34558,yopR,-0.188,-1.126,-1.208,-0.69
transcriptomics,P39756,fdhD,0.544,1.966,1.48,1.052
transcriptomics,Q45500,yktD,0.658,1.323,0.343,-0.075
transcriptomics,P54161,ypcP,1.223,1.456,0.755,0.677
transcriptomics,P24219,sigL,0.272,0.988,1.213,0.888
transcriptomics,O32082,yubF,0.131,-0.789,-0.917,-0.457
transcriptomics,O34669,yocH,1.913,2.827,3.208,2.661
transcriptomics,O31611,yjbM,-0.911,-1.165,-0.29,-0.627
transcriptomics,P96592,ydaQ,-0.149,1.474,0.42,0.005
transcriptomics,P54543,yqjF,0.723,0.631,0.711,0.953
transcriptomics,O31930,yopH,-0.729,-1.783,-1.505,-1.094
transcriptomics,O31743,ylqF,-1.73,-1.243,-0.607,-1.222
transcriptomics,O31638,yjcP,0.267,-1.297,-1.846,-1.736
transcriptomics,P24011,ctaC,-1.389,-2.709,-1.016,-0.477
transcriptomics,P46335,yxcE,0.139,1.853,0.065,-0.517
transcriptomics,P96739,ywtC,1.299,1.875,1.481,1.583
transcriptomics,O34608,ydiN,0.574,1.437,0.377,0.065
transcriptomics,P37953,csbA,4.174,4.183,2.619,3.459
transcriptomics,O34505,ythB,0.377,1.129,0.243,0.374
transcriptomics,O32005,yokB,-0.89,-1.528,-1.519,-1.62
transcriptomics,O32041,yrvJ,-1.567,-2.702,-1.621,-1.229
transcriptomics,P54332,xkdM,0.37,-0.165,-0.659,-0.588
transcriptomics,Q02886,dinB,0.667,1.17,1.06,0.586
transcriptomics,O05511,ydhS,0.879,1.478,0.902,1.178
transcriptomics,O32226,yvaD,-0.101,-0.685,-0.45,-0.224
transcriptomics,P37253,ilvC,-0.339,-1.348,-0.844,-0.208
transcriptomics,P33690,comQ,-1.268,-2.161,-1.462,-1.307
transcriptomics,O31740,rimM,-0.5,-1.219,-0.777,-1.355
transcriptomics,Q45601,yydA,-0.936,-1.395,-1.086,-0.877
transcriptomics,O31769,ymfK,-2.603,-2.121,-0.708,-1.858
transcriptomics,P39216,tlpA,0.238,-1.147,-1.521,-1.132
transcriptomics,O31509,yeeI,-0.442,0.123,-0.533,-0.338
transcriptomics,P31102,aroB,-0.37,-2.377,-2.031,-1.415
transcriptomics,P96616,ydbT,0.718,2.237,0.847,-0.141
transcriptomics,Q795M8,yugO,1.105,2.335,0.567,0.185
transcriptomics,P55343,mraZ,-1.919,-2.685,-1.207,-1.8
transcriptomics,O34840,yfkE,1.937,2.289,0.672,0.585
transcriptomics,O34468,ylbP,0.639,1.563,1.397,1.108
transcriptomics,P24072,cheY,0.07,-1.885,-2.501,-1.616
transcriptomics,P54462,yqeV,0.284,-0.382,0.515,-0.17
transcriptomics,P45860,ywiE,2.611,2.325,0.169,0.374
transcriptomics,P36949,rbsB,1.161,2.33,1.82,2.016
transcriptomics,O34459,hisZ,-1.124,-2.435,-2.843,-1.161
transcriptomics,P94499,brnQ,-0.543,0.625,0.346,-0.524
transcriptomics,Q45544,ylxX,-1.661,-1.351,-0.746,-1.132
transcriptomics,P39765,pyrR,-1.074,-1.822,-2.929,-1.817
transcriptomics,O32258,yvbX,-0.387,-1.541,-1.532,-1.141
transcriptomics,P54562,yqjY,-1.157,-2.437,-1.199,-1.304
transcriptomics,O31795,miaA,-3.044,-3.497,-1.994,-2.642
transcriptomics,O34725,yjhA,-2.136,-3.048,-0.007,-0.197
transcriptomics,O31800,ynzG,-0.654,-0.074,-0.482,-0.752
transcriptomics,O32270,tuaE,0.177,1.224,0.374,0.121
transcriptomics,O07615,yhfP,0.015,0.877,1.414,0.542
transcriptomics,P24073,fliY,-0.84,-2.884,-3.545,-2.409
transcriptomics,P96623,ydcF,0.936,1.111,0.396,0.748
transcriptomics,P42977,cca,-0.599,-1.951,-0.601,-0.53
transcriptomics,O34883,ytkC,1.447,1.749,0.081,0.753
transcriptomics,P54479,zur,0.383,1.039,0.06,-0.255
transcriptomics,O34428,yjlA,-0.45,-1.198,-0.265,-0.241
transcriptomics,P54536,artQ,-0.358,-1.903,-1.771,-1.593
transcriptomics,O07923,azlD,0.057,0.899,0.827,0.121
transcriptomics,P94393,ycgP,-1.045,-1.482,-1.307,-1.073
transcriptomics,P12464,rpoE,-1.945,-1.895,-0.475,-0.941
transcriptomics,P96707,ydgI,0.221,1.891,0.917,0.095
transcriptomics,O06718,gerPD,0.64,1.128,0.624,1.897
transcriptomics,O34816,ykuD,-0.307,0.793,0.434,0.209
transcriptomics,P23448,fliG,-0.246,-2.6,-2.799,-1.493
transcriptomics,P96574,ydaA,0.304,0.528,0.658,0.511
transcriptomics,Q45494,ykrA,-0.437,-1.074,-0.244,-0.843
transcriptomics,O05216,ywrB,0.2,1.179,-0.388,-0.169
transcriptomics,O06739,comA,-0.224,0.061,0.656,2.059
transcriptomics,P55910,lctP,0.27,1.091,0.373,0.222
transcriptomics,P94532,cstA,0.022,-0.776,-0.058,0.021
transcriptomics,O31673,clpE,0.513,3.104,0.939,1.603
transcriptomics,O34488,yjhB,-0.352,-1.377,0.355,0.093
transcriptomics,O32039,hisS,-0.834,-2.583,-1.181,-1.015
transcriptomics,O32000,yokG,-0.223,-1.445,-0.538,-0.466
transcriptomics,O31428,skfF,-0.517,-3.434,-3.119,-2.052
transcriptomics,P45694,tkt,-0.928,-2.255,0.155,-0.404
transcriptomics,P94443,padR,-0.345,0.724,0.75,-0.123
transcriptomics,P42421,yxdJ,-0.833,-0.943,-0.039,0.099
transcriptomics,P54482,ispG,-0.177,1.201,-0.22,-0.073
transcriptomics,O31862,yojA,0.873,1.683,0.703,0.795
transcriptomics,P71011,albA,0.462,1.247,1.452,0.795
transcriptomics,P94381,ycgF,-1.308,-1.592,-1.2,-1.988
transcriptomics,O34497,ykgA,3.565,3.774,1.653,2.31
transcriptomics,P39115,expZ,1.544,2.382,1.301,1.202
transcriptomics,O07617,yhfR,-0.811,-1.707,-0.687,-0.348
transcriptomics,O05215,ywrA,0.398,1.144,0.208,0.345
transcriptomics,O34665,ytlB,0.012,0.072,0.556,1.801
transcriptomics,O32162,yurU,0.612,1.682,1.84,1.338
transcriptomics,P35160,resA,-2.383,-2.526,-0.879,-0.83
transcriptomics,P17906,rsbX,3.394,4.004,1.821,2.454
transcriptomics,O06725,yisL,-1.194,-2.665,-1.536,-1.064
transcriptomics,O32165,yurX,0.694,1.574,1.805,1.497
transcriptomics,Q59192,parE,-1.07,-1.792,0.105,-0.461
transcriptomics,O31709,yknW,0.742,2.583,1.909,0.474
transcriptomics,O31798,ymzA,0.104,1.408,0.129,-0.267
transcriptomics,P35162,resC,-0.554,-1.899,-0.769,-0.438
transcriptomics,P37965,glpQ,0.279,-0.224,-0.256,0.567
transcriptomics,O34901,yobQ,-2.733,-2.957,-1.32,-0.841
transcriptomics,O35028,yfkR,1.79,3.018,1.631,1.849
transcriptomics,O34307,yvmA,0.83,2.609,0.768,0.943
transcriptomics,P16263,odhB,0.295,-1.359,-0.362,0.275
transcriptomics,O31727,ylmE,-0.737,-1.493,0.004,-0.323
transcriptomics,P21203,pheA,-1.346,-1.725,-0.908,-0.646
transcriptomics,P32732,truB,-0.553,-0.83,-0.941,-0.852
transcriptomics,P45899,yqaB,-1.626,-1.175,-0.999,-1.154
transcriptomics,P54394,dinG,-1.611,-1.367,-0.589,-0.971
