"Identified Proteins",UniProtKB.Entry,"Fold Change by Category (0M / 1M)","Fold Change by Category (1M / 3.5M)"
"Putative beta-glucoside-specific phosphotransferase system enzyme IIA component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05330 PE=4 SV=1",G4L5N6,NA,2.48
"Putative beta-glucoside-specific phosphotransferase system enzyme IIB component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05350 PE=4 SV=1",G4L5N8,-1.55,2.62
"Putative cation-transporting ATPase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05200 PE=3 SV=1",G4L5M3,1.72,NA
"Putative gluconeogenesis factor OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13070 PE=3 SV=1",G4L7W0,1.78,NA
"Putative glycerate dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=hprA PE=3 SV=1",G4L867,1.51,NA
"Putative hydrolase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14400 PE=4 SV=1",G4L893,2.01,NA
"Putative iron-sulfur cluster assembly protein SufD OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=sufD PE=4 SV=1",G4L5R7,1.84,1.62
"Putative magnesium transporter CorA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=corA PE=4 SV=1",G4L6A2,1.53,NA
"Putative membrane protein insertion efficiency factor OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_17550 PE=3 SV=1",G4L958,NA,2
"Putative molybdopterin biosynthesis protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01150 PE=4 SV=1",G4L3X6,NA,1.52
"Putative nicotinamide mononucleotide transporter OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05320 PE=4 SV=1",G4L5N5,NA,-2.6
"Putative organic hydroperoxide resistance protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ohr PE=4 SV=1",G4L3W8,NA,-1.53
"Putative oxidoreductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05810 PE=4 SV=1",G4L5T4,NA,1.93
"Putative oxidoreductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14310 PE=4 SV=1",G4L884,1.77,NA
"Putative phosphatase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_09090 PE=4 SV=1",G4L6R2,NA,-1.55
"Putative phosphatase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21660 PE=4 SV=1",G4L314,-1.78,1.85
"Putative polysaccharide biosynthesis protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03730 PE=4 SV=1",G4L576,2.58,NA
"Putative ribonuclease OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_07730 PE=3 SV=1",G4L6C6,NA,1.75
"Putative ribosomal-protein-alanine acetyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19710 PE=4 SV=1",G4L2G9,NA,1.97
"Putative small-conductance mechanosensitive channel OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13300 PE=4 SV=1",G4L7Y3,1.68,NA
"Putative sodium-dependent dicarboxylate transporter OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03280 PE=4 SV=1",G4L531,1.65,NA
"Putative spermine/spermidine acetyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05620 PE=4 SV=1",G4L5R5,1.74,NA
"Putative teichoic acid biosynthesis protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16190 PE=4 SV=1",G4L8S2,1.74,NA
"Putative toxin-antitoxin system antitoxin component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05110 PE=4 SV=1",G4L5L4,NA,2.13
"Putative toxin-antitoxin system toxin component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05120 PE=4 SV=1",G4L5L5,2.43,1.59
"Putative transposase for insertion sequence element OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_04050 PE=4 SV=1",G4L7B2,1.57,NA
"Putative trehalose 6-phosphate phosphorylase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00400 PE=4 SV=1",G4L3Q1,NA,-1.61
"Putative two-component histidine kinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01310 PE=4 SV=1",G4L3Z2,2.46,NA
"Putative two-component response regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01320 PE=4 SV=1",G4L3Z3,NA,1.51
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00580 PE=4 SV=1",G4L3R9,NA,1.55
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00740 PE=4 SV=1",G4L3T5,-2.27,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00960 PE=4 SV=1",G4L3V7,NA,-1.61
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01370 PE=4 SV=1",G4L3Z8,NA,-1.68
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01420 PE=4 SV=1",G4L403,NA,-1.67
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01680 PE=4 SV=1",G4L4E5,NA,2.53
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_02120 PE=4 SV=1",G4L4I9,1.72,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_02680 PE=4 SV=1",G4L4P5,NA,-2.19
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03410 PE=4 SV=1",G4L544,-1.77,2.55
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_04930 PE=4 SV=1",G4L5J6,2.11,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_04940 PE=4 SV=1",G4L5J7,1.92,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05090 PE=4 SV=1",G4L5L2,1.62,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05100 PE=4 SV=1",G4L5L3,2.03,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05230 PE=4 SV=1",G4L5M6,-2.06,1.96
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_06160 PE=4 SV=1",G4L5W9,1.95,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_06510 PE=4 SV=1",G4L604,1.8,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_06660 PE=4 SV=1",G4L619,1.53,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_07370 PE=4 SV=1",G4L690,NA,1.61
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_07820 PE=3 SV=1",G4L6D5,-1.84,1.75
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_08130 PE=4 SV=1",G4L6G6,2.13,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_09580 PE=4 SV=1",G4L6W1,2.23,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_09800 PE=4 SV=1",G4L6Y3,1.77,1.89
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10040 PE=4 SV=1",G4L707,1.75,1.55
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10300 PE=4 SV=1",G4L733,1.77,1.85
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10330 PE=4 SV=1",G4L736,-1.53,2.43
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10570 PE=4 SV=1",G4L760,NA,1.82
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_11220 PE=4 SV=1",G4L7C5,-1.52,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_12700 PE=4 SV=1",G4L7S3,2.38,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_12960 PE=4 SV=1",G4L7U9,1.93,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13090 PE=4 SV=1",G4L7W2,1.52,-1.77
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13140 PE=4 SV=1",G4L7W7,2.01,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13150 PE=4 SV=1",G4L7W8,NA,1.97
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13290 PE=4 SV=1",G4L7Y2,-1.58,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13390 PE=4 SV=1",G4L7Z2,-1.58,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13650 PE=4 SV=1",G4L818,1.58,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13680 PE=4 SV=1",G4L821,NA,1.57
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13790 PE=4 SV=1",G4L832,1.74,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14120 PE=4 SV=1",G4L865,NA,-1.67
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14270 PE=4 SV=1",G4L880,NA,1.71
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14340 PE=4 SV=1",G4L887,1.67,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14350 PE=4 SV=1",G4L888,1.69,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14560 PE=4 SV=1",G4L8A9,NA,-1.77
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14730 PE=4 SV=1",G4L8C6,-1.68,1.72
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14790 PE=4 SV=1",G4L8D2,-2.6,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15060 PE=3 SV=1",G4L8F9,NA,1.54
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15120 PE=4 SV=1",G4L8G5,1.53,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15360 PE=4 SV=1",G4L8I9,NA,1.85
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15420 PE=4 SV=1",G4L8J5,1.71,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15800 PE=4 SV=1",G4L8N3,1.73,3.78
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15860 PE=4 SV=1",G4L8N9,1.71,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15910 PE=4 SV=1",G4L8P4,1.69,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16120 PE=4 SV=1",G4L8R5,2.35,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16280 PE=4 SV=1",G4L8T1,NA,1.64
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16460 PE=4 SV=1",G4L8U9,1.55,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16780 PE=4 SV=1",G4L8Y1,1.51,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_17270 PE=4 SV=1",G4L930,NA,1.92
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_17330 PE=4 SV=1",G4L936,1.62,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_17340 PE=4 SV=1",G4L937,1.74,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_17910 PE=4 SV=1",G4L994,2.38,1.54
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19510 PE=4 SV=1",G4L2E9,-1.62,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19550 PE=4 SV=1",G4L2F3,1.8,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19920 PE=4 SV=1",G4L2J0,-1.61,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19970 PE=4 SV=1",G4L2J5,NA,1.51
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19990 PE=4 SV=1",G4L2J7,1.69,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21440 PE=4 SV=1",G4L2Z2,1.6,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_22930 PE=4 SV=1",G4L3E4,NA,1.93
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_23140 PE=4 SV=1",G4L3G5,1.53,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_23780 PE=3 SV=1",G4L426,1.71,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_23970 PE=4 SV=1",G4L445,NA,-2.48
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_24270 PE=4 SV=1",G4L475,1.89,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_25460 PE=4 SV=1",G4L500,2.3,NA
"Putative uncharacterized protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_25500 PE=3 SV=1",G4L504,1.96,2.35
"Pyrrolidone-carboxylate peptidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pcp PE=3 SV=1",G4L5L1,1.62,NA
"Pyruvate carboxylase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pyc PE=4 SV=1",G4L8H3,1.71,NA
"Pyruvate dehydrogenase E1 component alpha subunit OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pdhA PE=4 SV=1",G4L8I2,-1.74,NA
"Pyruvate formate-lyase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pflB PE=4 SV=1",G4L8L1,NA,1.55
"Pyruvate formate-lyase-activating enzyme OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=act PE=3 SV=1",G4L8L0,1.52,1.58
"Regulatory protein RecX OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=recX PE=3 SV=1",G4L2F7,-1.57,NA
"Ribokinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rbsK PE=3 SV=1",G4L5H5,-1.87,NA
"Ribonuclease Z OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rnz PE=3 SV=1",G4L7Z0,NA,1.59
"Ribosomal RNA small subunit methyltransferase E OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21550 PE=3 SV=1",G4L303,NA,1.75
"Sensor histidine kinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16110 PE=4 SV=1",G4L8R4,1.59,NA
"Serine--tRNA ligase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=serS PE=3 SV=1",G4L4G8,NA,1.55
"Single-stranded-DNA-specific exonuclease RecJ OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=recJ PE=4 SV=1",G4L7Z3,-1.53,NA
"Small heat shock protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01590 PE=3 SV=1",G4L4D6,NA,-1.99
"SsrA-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=smpB PE=3 SV=1",G4L971,1.71,1.51
"Sugar ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_04340 PE=4 SV=1",G4L5D7,1.58,NA
"Sugar fermentation stimulation protein homolog OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=sfsA PE=3 SV=1",G4L8Y2,NA,1.59
"Superoxide dismutase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=sodA PE=3 SV=1",G4L8Q4,1.77,NA
"Thioredoxin OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=trx PE=3 SV=1",G4L9F5,-1.68,1.78
"Thymidylate synthase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=thyA PE=3 SV=1",G4L8P6,NA,1.64
"Transaldolase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_12500 PE=4 SV=1",G4L7Q3,NA,1.8
"Transcriptional regulator BusR OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=busR PE=4 SV=1",G4L519,1.52,NA
"Transport permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=tagG PE=3 SV=1",G4L8Q0,1.68,NA
"Tyrosine recombinase XerD OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=xerD PE=3 SV=1",G4L2L1,NA,1.69
"UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=murA PE=3 SV=1",G4L960,-2.03,1.85
"UPF0237 protein TEH_08070 OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_08070 PE=3 SV=1",G4L6G0,2.01,1.64
"UPF0291 protein TEH_13440 OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13440 PE=3 SV=1",G4L7Z7,-1.51,NA
"Universal stress protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_08060 PE=3 SV=1",G4L6F9,1.89,NA
"Universal stress protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21640 PE=3 SV=1",G4L312,1.56,NA
"Uracil-DNA glycosylase family protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_23960 PE=4 SV=1",G4L444,1.52,NA
"V-type Na(+)-transporting ATPase subunit C OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ntpC PE=4 SV=1",G4L4R6,1.97,NA
