id,Protein.IDs,Gene.Names,Protein.Descriptions,Uniprot,X.24h.GLUCOSE.Control,X24h.GLUCOSE.Control.TTest.Up,X24h.GLUCOSE.Control.TTest.Down
484,IPI00122548;IPI00876341,Vdac3,"Voltage-dependent anion channel 3;Voltage-dependent anion-selective channel protein 3",Q3TTN3;Q5EBQ0;Q8BNG2;Q60931;Q3TX38;Q3UFA8,1.5248,0.0074,0.9926
1306,IPI00454045;IPI00276671,Sphkap;Kiaa1678,"RIKEN cDNA 4930544G21 gene;Adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230052B03 product:hypothetical Signal peptidase containing protein, full insert sequence",Q6NSW3;Q6PAM6;Q6PAP7;Q80TA7;Q80XT3;Q8BYQ9;Q8BZL6,2.1686,0.0047,0.9953
1457,IPI00319509,Anpep;Lap-1;Lap1,"Aminopeptidase N",P97449;Q3TB69;Q3UP74,2.0934,0.0018,0.9982
1425,IPI00317309,Anxa5;Anx5,"Annexin A5",P48036,1.6108,0.0062,0.9938
1247,IPI00828225;IPI00230422;IPI00620073;IPI00856388;IPI00856242,Bcap31;RP23-329M9.5-001;Bap31,"Bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:I830032J03 product:B-cell receptor-associated protein 31, full insert sequence;B-cell receptor-associated protein 31",A2ALM8;Q3U9U5;Q61335,1.3684,0.0013,0.9987
372,IPI00119618,Canx,"Calnexin precursor",P35564;Q3TXE5;Q5SUC3,1.1436,0.0052,0.9948
982,IPI00153633;IPI00654285,Ctage5;Mea6;Mgea6,"Cutaneous T-cell lymphoma-associated antigen 5 homolog;Activated spleen cDNA, RIKEN full-length enriched library, clone:F830212G23 product:meningioma expressed antigen 6 (coiled-coil proline-rich), full insert sequence",Q8R311;Q3TZZ3,1.5288,0.0008,0.9992
317,IPI00117705;IPI00410819,Ddost,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit precursor;Bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:I830013K22 product:dolichyl-di-phosphooligosaccharide-protein glycotransferase, full insert seque",O54734;Q3UC51;Q3UG68;Q8C4P7,1.8914,0.0003,0.9997
1341,IPI00309035,Rpn1,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit precursor",Q91YQ5;Q3U900;Q5RKP4;Q8BMR3;Q99LY0,1.2598,0.0037,0.9963
1867,IPI00475154;IPI00754992,Rpn2;RP23-163J20.6-002,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit precursor;Ribophorin II",Q9DBG6;A2ACG6;Q3U505;Q61833;A2ACG7,1.5992,0.0063,0.9937
1675,IPI00403589;IPI00620075,Erh,"Enhancer of rudimentary homolog;similar to human protein homologous to DROER protein",P84089;Q4FZH7,1.3933,0.0081,0.9919
361,IPI00119219;IPI00785470;IPI00458208,Hsd17b12;Kik1,"Isoform 1 of Estradiol 17-beta-dehydrogenase 12",O70503-1;O70503;Q0VGQ1;Q9CSR6,1.2332,0.0083,0.9917
171,IPI00112555,Gars,"Glycyl-tRNA synthetase",Q9CZD3,1.9257,0.0012,0.9988
1431,IPI00317740;IPI00648477,Gnb2l1;Gnb2-rs1;RP23-14F5.6-003,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1 sequence 1",P68040;Q3THP0;Q3THY7;Q3TKQ0;Q3TW88;Q5NCC5;Q9CSQ0;Q9ERM6;Q5NCC6,1.9418,0.0045,0.9955
608,IPI00624138;IPI00126969;IPI00553278;IPI00654993;IPI00655224;IPI00845660;IPI00875540;IPI00109996;IPI00869446;IPI00845713;IPI00869386;IPI00785317;IPI00845774;IPI00656170;IPI00844656,H2-D1;H2-L;H-2D;H2-Q2,"H-2 class I histocompatibility antigen, D-B alpha chain precursor;40 kDa protein;H-2D cell surface glycoprotein (Fragment);H-2D cell surface glycoprotein (Fragment);H-2D cell surface glycoprotein (Fragment);H2-D1 protein (Fragment);H-2D cell surface glycop",P01899;O19453;Q792Z7;O78207;Q31167;Q31168;Q3KQJ3;O78206;P01897;Q8R3Y0,2.4173,0.0008,0.9992
1531,IPI00330958;IPI00336873;IPI00230086;IPI00336874;IPI00136573,Hnrnpd;Auf1;Hnrpd,"Isoform 1 of Heterogeneous nuclear ribonucleoprotein D0;Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0;Isoform 2 of Heterogeneous nuclear ribonucleoprotein D0;Isoform 4 of Heterogeneous nuclear ribonucleoprotein D0",Q60668-1;Q60668;Q60668-3;Q3UXC8;Q60668-2;Q60668-4,2.8579,0.0005,0.9995
75,IPI00108143,Hnrnph2;Hnrph2,"Heterogeneous nuclear ribonucleoprotein H2",P70333;A2BDV8;Q3UR26,1.287,0.0004,0.9996
1929,IPI00626132;IPI00830581;IPI00320847,Hsd17b10;RP23-419G22.2-003;Hadh2;Hsd17b10/Schad;RP23-419G22.2-001;Erab,"Hydroxyacyl-Coenzyme A dehydrogenase type II;hydroxyacyl-Coenzyme A dehydrogenase type II;3-hydroxyacyl-CoA dehydrogenase type-2",A2AFQ2;Q9CYT3;Q99N15;O08756,1.6746,0.0001,0.9999
1724,IPI00420706;IPI00875457,Lrpprc;Lrp130,"Leucine-rich PPR motif-containing protein, mitochondrial precursor;147 kDa protein",Q6PB66,1.3344,0.0081,0.9919
506,IPI00123281;IPI00653744,Lrrc59;AA959742,"Leucine-rich repeat-containing protein 59;17 days embryo kidney cDNA, RIKEN full-length enriched library, clone:I920098M07 product:weakly similar to P34 protein",Q922Q8;Q3UBL0;Q3TF84,1.2498,0.0042,0.9958
413,IPI00120793;IPI00875107,Prnp;Prn-p;Prp;Prnd;Prnpb,"Major prion protein precursor;Major prion protein",P04925;Q3TZI7;Q3UBH0;Q3UF68;Q3UG89;Q4FJQ7;Q9QYT9,1.3381,0.008,0.992
1069,IPI00222037;IPI00845556;IPI00850156;IPI00230105,Mia3;Kiaa0268,"Isoform 1 of Melanoma inhibitory activity protein 3 precursor",Q8BI84-1;Q8BI84,1.5793,0.0028,0.9972
1052,IPI00221493,Entpd3,"Adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230353O06 product:ectonucleoside triphosphate diphosphohydrolase 3, full insert sequence",Q3TC04;Q3TDX3;Q8BFW6;Q8CCV2,1.6865,0.0058,0.9942
781,IPI00132314;IPI00654387;IPI00857292,Nucb1;Nuc;Nucb,"Nucleobindin-1 precursor;NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630116B22 product:nucleobindin, full insert sequence (Fragment)",Q02819;Q8BRD3;Q3TCI1,1.2192,0.0009,0.9991
1345,IPI00309704,Nucb2;Nefa,"Nucleobindin-2 precursor",P81117;Q3TV28;Q3UKN6,1.5,0.0028,0.9972
2072,IPI00875145;IPI00754386,Ero1l,"ERO1-like;ERO1-like protein alpha precursor",Q3TXL0;Q4FK57;Q8R180;Q4FJZ3,1.7987,0.0015,0.9985
341,IPI00118821,Pafah1b2;Pafahb,"Platelet-activating factor acetylhydrolase IB subunit beta",Q61206;Q8BTA2,4.272,0.0066,0.9934
662,IPI00128904,Pcbp1,"Poly(rC)-binding protein 1",P60335,1.4938,0.0021,0.9979
1715,IPI00416303,Npepl1,"Probable aminopeptidase NPEPL1",Q6NSR8;A2ACM6;Q3TCV9;Q3U199;Q3UD03;Q3UMV8;Q6ZPF7,1.82,0.0084,0.9916
1719,IPI00420363;IPI00649370;IPI00649260,Ddx5;Tnz2,"Probable ATP-dependent RNA helicase DDX5",Q61656;A1L333;Q3UXW3;Q3V0Z8;Q5U222;Q8BTS0;Q921Y3;Q9CSD9,1.3546,0.0055,0.9945
1566,IPI00331644;IPI00475256;IPI00849365,Psma3,"Proteasome subunit alpha type-3;similar to proteasome alpha7/C8 subunit",O70435;Q58EV4;Q9DCD8,1.5539,0.0009,0.9991
308,IPI00117264;IPI00649406;IPI00649794;IPI00650052;IPI00648764,Park7;RP23-272N19.5-004;RP23-272N19.5-005,"Protein DJ-1;Parkinson disease (Autosomal recessive, early onset) 7;Parkinson disease (Autosomal recessive, early onset) 7",Q99LX0;A2A813;A2A815,2.1608,0.0042,0.9958
1186,IPI00228647;IPI00649374,Slc38a10,"Adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430510I23 product:hypothetical Permeases for amino acids and related compounds, family II containing protein, full insert sequence;Osteoclast-like cell cDNA, RIKEN full-length enri",A2AMZ5;Q5I012;Q8CCR5;Q3TVW4;Q641M1;Q7TMR2;Q80ZZ4;Q8R3Y3;Q99JV6,1.387,0.0004,0.9996
848,IPI00133342;IPI00876323;IPI00853745;IPI00662189;IPI00762803;IPI00672194;IPI00605093,Atp5l,"Adult male small intestine cDNA, RIKEN full-length enriched library, clone:2010009O04 product:ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F0 COMPLEX, SUBUNIT G, full insert sequence;ATP synthase subunit g, mitochondrial;hypothetical protein isoform 1",Q9CQY3;Q9D037;Q9CPQ8,1.5707,0.0027,0.9973
783,IPI00132347;IPI00555000;IPI00121419,Uqcrb,"Adult male cerebellum cDNA, RIKEN full-length enriched library, clone:1500015I13 product:UBIQUINOL-CYTOCHROME C REDUCTASE BINDING PROTEIN homolog;Cytochrome b-c1 complex subunit 7",Q9CQB4;Q9D855,1.6642,0.0044,0.9956
272,IPI00116154;IPI00785410,Cox5b;RP23-298F22.4-001,"cytochrome c oxidase, subunit Vb;Cytochrome c oxidase subunit 5B, mitochondrial precursor",Q9D881;P19536,2.0222,0.0028,0.9972
1334,IPI00308609;IPI00321634;IPI00457967,Lman2,"9 days embryo whole body cDNA, RIKEN full-length enriched library, clone:D030015M14 product:VESICULAR INTEGRAL-MEMBRANE PROTEIN VIP36 (VIP36) homolog;Vesicular integral-membrane protein VIP36 precursor",Q8BJL4;Q9DBH5,2.0324,0.0004,0.9996
696,IPI00130118;IPI00121183;IPI00830354,Rab10,"Ras-related protein Rab-10",P61027;Q3U621;Q4FJL0,2.1262,0.0047,0.9953
943,IPI00137227;IPI00187430;IPI00652606;IPI00459917,Rab2a;Rab2,"Ras-related protein Rab-2A",P53994;Q0PD65;Q6PDZ3;Q8BXY4,1.8236,0.0008,0.9992
1489,IPI00322312,Arhgdia;C87222;Gdi1,"Rho GDP-dissociation inhibitor 1",Q99PT1,2.0337,0.0009,0.9991
1380,IPI00313296,Rnh1;Rnh,"Ribonuclease inhibitor",Q91VI7;Q3UM23,1.4484,0.005,0.995
309,IPI00277066;IPI00648228;IPI00117288,Hnrpab;RP23-79E13.1-003;RP23-79E13.1-002;Hnrnpab;Cbf-a;Cgbfa,"heterogeneous nuclear ribonucleoprotein A/B isoform 1;Hnrpab protein;Heterogeneous nuclear ribonucleoprotein A/B",Q20BD0;Q3TMZ8;Q8CIR3;Q80XR6;Q9D6G1;Q99020;Q544Z3,2.5407,0.0011,0.9989
1731,IPI00420841,Sec11a;Sec11l1;Sid2895;Spc18,"Signal peptidase complex catalytic subunit SEC11A",Q9R0P6;Q6PET3,1.2045,0.0018,0.9982
1540,IPI00331174,Cct7;Ccth,"T-complex protein 1 subunit eta",P80313;Q3TET0;Q3THH8;Q3TIJ7;Q3TJN2;Q3UDB1;Q3UIJ0;Q8C5Q5,1.2952,0.0005,0.9995
1625,IPI00377298,Tra2a,"transformer-2 alpha",Q6PFR5;Q3TAP5;Q3TNU2,1.253,0.0036,0.9964
1930,IPI00875190;IPI00626537;IPI00654997,Tm9sf4;Kiaa0255,"82 kDa protein;Transmembrane 9 superfamily member 4",Q8BH24;Q14B57;Q922V9,1.6451,0.0034,0.9966
393,IPI00120200,Tmed3,"Transmembrane emp24 domain-containing protein 3 precursor",Q78IS1,4.5018,0.0085,0.9915
966,IPI00139378,Ufm1,"Ubiquitin-fold modifier 1 precursor",P61961,2.2589,0.0035,0.9965
513,IPI00123379;IPI00405603,Hdlbp,Vigilin,Q8VDJ3;A0PJE9;Q3U4Z7;Q3V1M8,1.6481,0.0001,0.9999
1397,IPI00654178;IPI00314748,Wdr1,"WD repeat domain 1 (Fragment);WD repeat-containing protein 1",Q80ZI9;O88342;Q3TE06;Q3TJY2;Q3TNK2;Q3U136;Q9DBM8;Q9DC08,1.9959,0.0086,0.9914
