"UniProtKB.ID","Uniprot.Protein.Code","Protein.Name","Gene.names","Elucidator.Expression.Ratio..Treated.Control.","P.value..Ratio.Data."
TPM4_HUMAN,P67936,"Tropomyosin alpha-4 chain ",TPM4,1.13,0.0631
TRXR1_HUMAN,Q16881,"Isoform TXNRD1_v5 of Thioredoxin reductase 1, cytoplasmic ",TXNRD1 ,2.34,1.07e-08
TSC2_HUMAN,P49815,"Isoform 2 of Tuberin ",TSC2 ,0.98,0.6851
TXND5_HUMAN,Q8NBS9,"Thioredoxin domain-containing protein 5 ",TXNDC5 ,1.08,0.2062
UBA1_HUMAN,P22314,"Ubiquitin-like modifier-activating enzyme 1 ",UBA1 ,0.99,0.7353
UBIQ_HUMAN,P0CG47,"Polyubiquitin-B",UBB,1.05,0.0921
UCHL1_HUMAN,P09936,"Ubiquitin carboxyl-terminal hydrolase isozyme L1 ",UCHL1,0.88,0.000225
UGDH_HUMAN,O60701,"UDP-glucose 6-dehydrogenase ",UGDH,2.64,2.51e-14
VAT1_HUMAN,Q99536,"Synaptic vesicle membrane protein VAT-1 homolog ",VAT1,2.07,2.23e-31
VDAC1_HUMAN,P21796,"Voltage-dependent anion-selective channel protein 1 ",VDAC1 ,1.41,7.68e-14
VDAC2_HUMAN,P45880-1,"Isoform 1 of Voltage-dependent anion-selective channel protein 2 ",VDAC2,1.77,3.38e-12
VIGLN_HUMAN,Q00341,"Vigilin ",HDLBP ,0.49,2.39e-19
VIME_HUMAN,P08670,"Vimentin ",VIM,1.18,7.11e-08
VINC_HUMAN,P18206,"Vinculin ",VCL,0.76,6.74e-10
VTNC_HUMAN,P04004,"Vitronectin ",VTN,2.82,1.96e-44
WDR1_HUMAN,O75083,"WD repeat-containing protein 1 ",WDR1,1.19,0.0027
YI016_HUMAN,A6NKZ8,"Putative tubulin beta chain-like protein ENSP00000290377 ",TUBBP5,0.87,0.000188
ZAP70_HUMAN,P43403,"Tyrosine-protein kinase ZAP-70 ",ZAP70 ,2.24,3.31e-09
ZC3H3_HUMAN,Q8IXZ2,"Zinc finger CCCH domain-containing protein 3 ",ZC3H3 ,0.73,1.98e-05
ZYX_HUMAN,Q15942,"Zyxin ",ZYX,1.51,0.0088
